actual_route,avg_latency_ms,avg_latency_us,baseline_no_retrain_avg_latency_ms,baseline_no_retrain_p95_latency_ms,baseline_no_retrain_recall,baseline_source_rel,bucket,candidate_count,candidate_count_passing_recall,candidate_count_total,case_id,chosen_L,configured_L,configured_route,cpu_affinity_allowed_cpus,cpu_cap,cpu_cap_enforced,cycle,cycle_idx,dest_prefix,elapsed_s,empty_count,evidence_source,fallback_count,flat_build_memory_gb,flat_pq_pivots,flat_threshold,graph_count,insert_threads,live_point_count,maintenance_prefix,max_rss_kb,max_threshold,mean_candidate_count,mean_cpu_us,mean_cpu_us1,mean_cpu_us2,mean_io_us,mean_n_4k,mean_n_cmps,mean_n_hops,mean_n_ios,mean_query_total_us,mean_read_size,mean_route_overhead_us,min_threshold,mode,online_flat_materialize,p50_latency_us,p95_cpu_us,p95_io_us,p95_latency_ms,p95_latency_us,p95_n_4k,p95_n_cmps,p95_n_hops,p95_n_ios,p95_query_total_us,p95_read_size,p99_latency_us,phase,points,pq_bytes,prefilter_count,process_max_rss_kb,qps,query_peak_delta_kb,query_peak_rss_kb,raw_command,recall,recall@10,route,rss_after_query_kb,rss_before_query_kb,search_l,selection_policy,selection_status,selector_type,serving_source,source_prefix,status,strategy_variant,supports_recall_claim,tau_m,threads,threshold_version,trigger_reasons,trigger_status,variant,wall_s
mixed,8.454311268,8454.311268,10.467618013,10.757614,98.2,raw/phaseC_selected_route_l.jsonl,u75,750000.0,9,22,cycle01_triggered_retrain_range_u75,400,400,graph,0-15,16,True,phaseC_cycle01_retrain_each_cycle,1,,8.454571,0,targeted_triggered_retrain,1000,1,,10000,0,16,1000000,,696740,123007,750000.0,21043.481,0.0,8026.636,0.0,409.364,21043.481,0.0,409.364,8134.965,1676754.944,66.917,123007,measure-dynamic-search,False,8350.321,26522.0,0.0,8.759255999999999,8759.256,416.0,26522.0,0.0,416.0,8334.0,1703936.0,9233.047,phaseC,1000000,16,0,696740,118.279217,12008,283136,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_retrain_each_cycle --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle01_retrain_each_cycle_range_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 400 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle01_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle01_range_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u75.spmat --selector-type range --query-limit 1000,98.73,98.73,graph,283136,271128,400,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,range,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_retrain_each_cycle,ok,triggered_retrain,True,123007,1,0,avg>=10ms,triggered,retrain_each_cycle,8.454571
mixed,6.377880805,6377.880805,10.502130655,10.796381,98.22,raw/phaseC_selected_route_l.jsonl,u100,1000000.0,10,22,cycle01_triggered_retrain_range_u100,300,300,graph,0-15,16,True,phaseC_cycle01_retrain_each_cycle,1,,6.378162,0,targeted_triggered_retrain,1000,1,,10000,0,16,1000000,,696740,123007,1000000.0,17146.3,0.0,5976.175,0.0,310.156,17146.3,0.0,310.156,6089.455,1270398.976,73.35,123007,measure-dynamic-search,False,6329.822,21511.0,0.0,6.673674,6673.674,317.0,21511.0,0.0,317.0,6335.0,1298432.0,7110.138,phaseC,1000000,16,0,696740,156.784985,14568,285776,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_retrain_each_cycle --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle01_retrain_each_cycle_range_u100.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 300 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle01_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle01_range_u100.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u100.spmat --selector-type range --query-limit 1000,98.29,98.29,graph,285776,271208,300,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,range,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle01_retrain_each_cycle,ok,triggered_retrain,True,123007,1,0,avg>=10ms,triggered,retrain_each_cycle,6.378162
prefilter,7.138603077,7138.603077,7.5229888140000005,7.95364,98.81,raw/phaseC_selected_route_l.jsonl,u50,500000.0,9,22,cycle02_triggered_retrain_intersect_u50,400,400,prefilter,0-15,16,True,phaseC_cycle02_retrain_each_cycle,2,,7.138923,0,targeted_triggered_retrain,0,1,,10000,0,16,1000000,,938012,127066,500000.0,0.0,0.0,0.0,0.0,400.0,500000.0,0.0,400.0,7134.306,1638400.0,543.816,127066,measure-dynamic-search,False,7108.66,0.0,0.0,7.493466000000001,7493.466,400.0,500000.0,0.0,400.0,7490.0,1638400.0,7789.361,phaseC,1000000,16,1000,938012,140.077154,1196,272428,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle02_retrain_each_cycle --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle02_retrain_each_cycle_intersect_u50.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 400 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle02_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle02_intersect_u50.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u50.spmat --selector-type intersect --query-limit 1000,99.32,99.32,prefilter,272428,271232,400,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle02_retrain_each_cycle,ok,triggered_retrain,True,127066,1,0,replacement_ratio>=0.60,triggered,retrain_each_cycle,7.138923
graph,7.965088702,7965.088702,10.531196757,10.904129000000001,98.64,raw/phaseC_selected_route_l.jsonl,u75,750000.0,9,22,cycle02_triggered_retrain_intersect_u75,400,400,graph,0-15,16,True,phaseC_cycle02_retrain_each_cycle,2,,7.965411,0,targeted_triggered_retrain,0,1,,10000,1000,16,1000000,,938012,127066,750000.0,21209.783,0.0,7571.608,0.0,409.473,21209.783,0.0,409.473,7637.67,1677201.408,23.597,127066,measure-dynamic-search,False,7925.534,27131.0,0.0,8.247084000000001,8247.084,417.0,27131.0,0.0,417.0,7880.0,1708032.0,8559.475,phaseC,1000000,16,0,938012,125.542796,11608,282764,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle02_retrain_each_cycle --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle02_retrain_each_cycle_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 400 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle02_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle02_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,98.44,98.44,graph,282764,271156,400,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle02_retrain_each_cycle,ok,triggered_retrain,True,127066,1,0,avg>=10ms,triggered,retrain_each_cycle,7.965411
graph,6.404658040999999,6404.658041,9.886673294,10.556961,98.06,raw/phaseC_selected_route_l.jsonl,u100,1000000.0,10,22,cycle02_triggered_retrain_intersect_u100,300,300,graph,0-15,16,True,phaseC_cycle02_retrain_each_cycle,2,,6.404977,0,targeted_triggered_retrain,0,1,,10000,1000,16,1000000,,938012,127066,1000000.0,17290.854,0.0,6072.866,0.0,310.326,17290.854,0.0,310.326,6129.706,1271095.296,18.372,127066,measure-dynamic-search,False,6266.152,21776.0,0.0,6.569342,6569.342,318.0,21776.0,0.0,318.0,6271.0,1302528.0,7042.315,phaseC,1000000,16,0,938012,156.128577,13976,285084,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle02_retrain_each_cycle --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle02_retrain_each_cycle_intersect_u100.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 300 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle02_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle02_intersect_u100.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u100.spmat --selector-type intersect --query-limit 1000,98.15,98.15,graph,285084,271108,300,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle02_retrain_each_cycle,ok,triggered_retrain,True,127066,1,0,replacement_ratio>=0.60,triggered,retrain_each_cycle,6.404977
prefilter,7.147108636,7147.108636,7.440582417,7.656733,98.64,raw/phaseC_selected_route_l.jsonl,u50,500000.0,9,22,cycle02_triggered_retrain_range_u50,250,250,prefilter,0-15,16,True,phaseC_cycle02_retrain_each_cycle,2,,7.147454,0,targeted_triggered_retrain,0,1,,10000,0,16,1000000,,938012,127066,500000.0,0.0,0.0,0.0,0.0,250.0,500000.0,0.0,250.0,7141.069,1024000.0,613.195,127066,measure-dynamic-search,False,7114.937,0.0,0.0,7.4933890000000005,7493.389,250.0,500000.0,0.0,250.0,7484.0,1024000.0,8051.764,phaseC,1000000,16,1000,938012,139.90996,1068,272196,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle02_retrain_each_cycle --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle02_retrain_each_cycle_range_u50.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 250 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle02_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle02_range_u50.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u50.spmat --selector-type range --query-limit 1000,98.24,98.24,prefilter,247600,271128,250,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,range,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle02_retrain_each_cycle,ok,triggered_retrain,True,127066,1,0,replacement_ratio>=0.60,triggered,retrain_each_cycle,7.147454
mixed,8.451665706,8451.665706,10.800013434,11.144986000000001,98.72,raw/phaseC_selected_route_l.jsonl,u75,750000.0,9,22,cycle02_triggered_retrain_range_u75,400,400,graph,0-15,16,True,phaseC_cycle02_retrain_each_cycle,2,,8.451945,0,targeted_triggered_retrain,1000,1,,10000,0,16,1000000,,938012,127066,750000.0,21211.004,0.0,7987.74,0.0,409.481,21211.004,0.0,409.481,8109.617,1677234.176,78.041,127066,measure-dynamic-search,False,8301.804,27131.0,0.0,8.676072,8676.072,417.0,27131.0,0.0,417.0,8313.0,1708032.0,9217.384,phaseC,1000000,16,0,938012,118.315958,11368,282572,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle02_retrain_each_cycle --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle02_retrain_each_cycle_range_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 400 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle02_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle02_range_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u75.spmat --selector-type range --query-limit 1000,98.44,98.44,graph,282572,271204,400,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,range,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle02_retrain_each_cycle,ok,triggered_retrain,True,127066,1,0,avg>=10ms,triggered,retrain_each_cycle,8.451945
mixed,6.384073727,6384.073727,9.886068126,10.009074,98.06,raw/phaseC_selected_route_l.jsonl,u100,1000000.0,10,22,cycle02_triggered_retrain_range_u100,300,300,graph,0-15,16,True,phaseC_cycle02_retrain_each_cycle,2,,6.384317,0,targeted_triggered_retrain,1000,1,,10000,0,16,1000000,,938012,127066,1000000.0,17291.353,0.0,5933.671,0.0,310.336,17291.353,0.0,310.336,6059.176,1271136.256,80.932,127066,measure-dynamic-search,False,6282.964,21776.0,0.0,6.659131,6659.131,318.0,21776.0,0.0,318.0,6266.0,1302528.0,7307.342,phaseC,1000000,16,0,938012,156.633837,14384,287528,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle02_retrain_each_cycle --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle02_retrain_each_cycle_range_u100.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 300 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle02_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle02_range_u100.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u100.spmat --selector-type range --query-limit 1000,98.15,98.15,graph,287528,273144,300,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,range,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle02_retrain_each_cycle,ok,triggered_retrain,True,127066,1,0,replacement_ratio>=0.60,triggered,retrain_each_cycle,6.384317
prefilter,7.305167296,7305.167296,7.660334107,7.919631000000001,98.19,raw/phaseC_selected_route_l.jsonl,u50,500000.0,4,22,cycle03_triggered_retrain_intersect_u50,400,400,prefilter,0-15,16,True,phaseC_cycle03_retrain_each_cycle,3,,7.305462,0,targeted_triggered_retrain,0,1,,10000,0,16,1000000,,1228212,123249,500000.0,0.0,0.0,0.0,0.0,400.0,500000.0,0.0,400.0,7301.106,1638400.0,558.758,123249,measure-dynamic-search,False,7290.724,0.0,0.0,7.5124759999999995,7512.476,400.0,500000.0,0.0,400.0,7508.0,1638400.0,8061.543,phaseC,1000000,16,1000,1228212,136.883877,1148,272444,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle03_retrain_each_cycle --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle03_retrain_each_cycle_intersect_u50.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 400 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle03_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle03_intersect_u50.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u50.spmat --selector-type intersect --query-limit 1000,98.37,98.37,prefilter,272444,271296,400,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle03_retrain_each_cycle,ok,triggered_retrain,True,123249,1,0,replacement_ratio>=0.60,triggered,retrain_each_cycle,7.305462
graph,9.236334451000001,9236.334451,10.604368463999998,10.944434,98.0,raw/phaseC_selected_route_l.jsonl,u75,750000.0,7,22,cycle03_triggered_retrain_intersect_u75,450,450,graph,0-15,16,True,phaseC_cycle03_retrain_each_cycle,3,,9.236658,0,targeted_triggered_retrain,0,1,,10000,1000,16,1000000,,1228212,123249,750000.0,22311.185,0.0,8829.723,0.0,459.262,22311.185,0.0,459.262,8901.605,1881137.152,24.777,123249,measure-dynamic-search,False,9181.121,28984.0,0.0,9.497236999999998,9497.237,465.0,28984.0,0.0,465.0,9121.0,1904640.0,9892.461,phaseC,1000000,16,0,1228212,108.264265,14104,285440,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle03_retrain_each_cycle --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle03_retrain_each_cycle_intersect_u75.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 450 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle03_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle03_intersect_u75.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat --selector-type intersect --query-limit 1000,98.1,98.1,graph,285440,271336,450,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle03_retrain_each_cycle,ok,triggered_retrain,True,123249,1,0,avg>=10ms,triggered,retrain_each_cycle,9.236658
graph,8.264237006,8264.237006,13.58434499,14.014262,98.09,raw/phaseC_selected_route_l.jsonl,u100,1000000.0,8,22,cycle03_triggered_retrain_intersect_u100,400,400,graph,0-15,16,True,phaseC_cycle03_retrain_each_cycle,3,,8.264536,0,targeted_triggered_retrain,0,1,,10000,1000,16,1000000,,1228212,123249,1000000.0,20557.484,0.0,7869.755,0.0,409.644,20557.484,0.0,409.644,7945.985,1677901.824,25.362,123249,measure-dynamic-search,False,8205.648,26518.0,0.0,8.519478,8519.478,415.0,26518.0,0.0,415.0,8165.0,1699840.0,9081.587,phaseC,1000000,16,0,1228212,120.998933,12508,285936,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle03_retrain_each_cycle --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle03_retrain_each_cycle_intersect_u100.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route graph --search-l 400 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle03_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle03_intersect_u100.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u100.spmat --selector-type intersect --query-limit 1000,98.17,98.17,graph,285936,273428,400,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,intersect,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle03_retrain_each_cycle,ok,triggered_retrain,True,123249,1,0,avg>=10ms,triggered,retrain_each_cycle,8.264536
prefilter,7.338325148,7338.325148,7.715221631,7.899974,98.19,raw/phaseC_selected_route_l.jsonl,u50,500000.0,4,22,cycle03_triggered_retrain_range_u50,400,400,prefilter,0-15,16,True,phaseC_cycle03_retrain_each_cycle,3,,7.338716,0,targeted_triggered_retrain,0,1,,10000,0,16,1000000,,1228212,123249,500000.0,0.0,0.0,0.0,0.0,400.0,500000.0,0.0,400.0,7332.495,1638400.0,609.138,123249,measure-dynamic-search,False,7331.535,0.0,0.0,7.509184,7509.184,400.0,500000.0,0.0,400.0,7505.0,1638400.0,7727.761,phaseC,1000000,16,1000,1228212,136.263611,1008,272340,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode measure-dynamic-search --source-prefix experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle03_retrain_each_cycle --jsonl-output experiments/v100_early_pq_10k_full_20260602T031600Z/raw/calibration_phaseC_cycle03_retrain_each_cycle_range_u50.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --route prefilter --search-l 400 --data-bin experiments/v100_early_pq_10k_full_20260602T031600Z/data/phaseC_cycle03_live_data_by_tag.bin --base-label-file experiments/v100_early_pq_10k_full_20260602T031600Z/labels/base_labels_1000000.spmat --query-bin /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/data/sift_query_1000.bin --truthset-bin experiments/v100_early_pq_10k_full_20260602T031600Z/truth/phaseC_cycle03_range_u50.bin --query-label-file /mnt/nvme1n1/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u50.spmat --selector-type range --query-limit 1000,98.37,98.37,prefilter,247872,271332,400,post_hoc_retuned_fastest_feasible_recall_ge_98,pass,range,retrain_each_cycle_snapshot,experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseC_cycle03_retrain_each_cycle,ok,triggered_retrain,True,123249,1,0,replacement_ratio>=0.60,triggered,retrain_each_cycle,7.338716
