artifact_source_stage,avg_latency_us,chosen_L,code_chunks,code_point_count,cpu_affinity_allowed_cpus,cpu_cap,cpu_cap_enforced,cycle_idx,data_dim,data_points,dest_disk_index_points,dest_pq_codes,dest_pq_pivots,dest_prefix,disk_graph_rebuild_performed,disk_index_same_inode,disk_index_size_bytes,elapsed_s,evidence_tag,flat_build_memory_gb,flat_pq_pivots,flat_threshold,insert_threads,layout_rewrite_performed,live_data,live_point_count,live_record_compact_performed,log_path,maintenance_kind,max_rss_kb,mode,non_pq_files_staged,non_pq_fingerprint_after,non_pq_fingerprint_before,non_pq_preserved,non_pq_stage_methods,online_flat_materialize,p50_latency_us,p95_latency_us,p99_latency_us,phase,points,pq_bytes,pq_codes_changed,pq_compressed_path,pq_only_elapsed_wall_s,pq_pivots_changed,pq_pivots_path,pq_recode_input_order,pq_recode_ordered_data,pq_recode_wall_s,pq_sidecar_wall_s,pq_train_wall_s,pq_training_points,raw_command,recall@10,route,search_l,source_disk_index_points,source_pq_codes,source_pq_pivots,source_prefix,status,tag_id_map_rewrite_performed,threads,tombstone_cleanup_performed,wall_s
smoke,0,60,16,1000000,0-15,16,True,0,128,1000000,1000000,"{""exists"": true, ""hash"": ""sha256:4cccf31bd0c9d488af7f908235b3b3dd328b6c769ec8e59369eafd360e3da244"", ""mtime_ns"": 1780465205984633518, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/indexes/smoke_pq_only_pq_compressed.bin"", ""role"": ""smoke_dest_pq_codes"", ""size_bytes"": 16000008}","{""exists"": true, ""hash"": ""sha256:170780cb3286f7a8fa3ed338367028f1d9654ee4dc1c0106109058702add20a2"", ""mtime_ns"": 1780465203112702621, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/indexes/smoke_pq_only_pq_pivots.bin"", ""role"": ""smoke_dest_pq_pivots"", ""size_bytes"": 136292}",/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/indexes/smoke_pq_only,False,True,1024004096,5.824038,smoke,1,,10000,16,False,/mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/data/segment00_1000000.bin,1000000,False,/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/logs/pq_only_smoke.log,pq_only_sidecar_recode,1827124,rebuild-pq-sidecar,"[{""dest"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/indexes/smoke_pq_only_disk.index"", ""method"": ""hardlink"", ""same_inode"": true, ""size_bytes"": 1024004096, ""source"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_online_earlypq_no_retrain_1m_seed10000_merge_disk.index""}, {""dest"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/indexes/smoke_pq_only_disk.index.tags"", ""method"": ""hardlink"", ""same_inode"": true, ""size_bytes"": 4000008, ""source"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_online_earlypq_no_retrain_1m_seed10000_merge_disk.index.tags""}, {""dest"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/indexes/smoke_pq_only_labels.densebit"", ""method"": ""hardlink"", ""same_inode"": true, ""size_bytes"": 931416, ""source"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_online_earlypq_no_retrain_1m_seed10000_merge_labels.densebit""}]","[{""dest"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:a1a46c6e79201930f6bbc33bd7c7def6369d1ba063035d489b60efe71e56ac0a"", ""hash_scope"": ""full_file"", ""inode"": 88211883, ""mtime_ns"": 1780373805715957620, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/indexes/smoke_pq_only_disk.index"", ""role"": ""smoke_after__disk.index_dest"", ""size_bytes"": 1024004096}, ""method"": ""hardlink"", ""source"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:a1a46c6e79201930f6bbc33bd7c7def6369d1ba063035d489b60efe71e56ac0a"", ""hash_scope"": ""full_file"", ""inode"": 88211883, ""mtime_ns"": 1780373805715957620, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_online_earlypq_no_retrain_1m_seed10000_merge_disk.index"", ""role"": ""smoke_after__disk.index_source"", ""size_bytes"": 1024004096}, ""suffix"": ""_disk.index""}, {""dest"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:0cb105b4f30532fbbd917e6245d95aee95d0ad67211a5b41b7750e36db608b0d"", ""hash_scope"": ""full_file"", ""inode"": 88211884, ""mtime_ns"": 1780373805715957620, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/indexes/smoke_pq_only_disk.index.tags"", ""role"": ""smoke_after__disk.index.tags_dest"", ""size_bytes"": 4000008}, ""method"": ""hardlink"", ""source"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:0cb105b4f30532fbbd917e6245d95aee95d0ad67211a5b41b7750e36db608b0d"", ""hash_scope"": ""full_file"", ""inode"": 88211884, ""mtime_ns"": 1780373805715957620, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_online_earlypq_no_retrain_1m_seed10000_merge_disk.index.tags"", ""role"": ""smoke_after__disk.index.tags_source"", ""size_bytes"": 4000008}, ""suffix"": ""_disk.index.tags""}, {""dest"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:b973bdfaabad695d9c34c0381c540ed645289cefba7cf380129d89139faf5643"", ""hash_scope"": ""full_file"", ""inode"": 88211897, ""mtime_ns"": 1780373806775931293, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/indexes/smoke_pq_only_labels.densebit"", ""role"": ""smoke_after__labels.densebit_dest"", ""size_bytes"": 931416}, ""method"": ""hardlink"", ""source"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:b973bdfaabad695d9c34c0381c540ed645289cefba7cf380129d89139faf5643"", ""hash_scope"": ""full_file"", ""inode"": 88211897, ""mtime_ns"": 1780373806775931293, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_online_earlypq_no_retrain_1m_seed10000_merge_labels.densebit"", ""role"": ""smoke_after__labels.densebit_source"", ""size_bytes"": 931416}, ""suffix"": ""_labels.densebit""}]","[{""dest"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:a1a46c6e79201930f6bbc33bd7c7def6369d1ba063035d489b60efe71e56ac0a"", ""hash_scope"": ""full_file"", ""inode"": 88211883, ""mtime_ns"": 1780373805715957620, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/indexes/smoke_pq_only_disk.index"", ""role"": ""smoke_before__disk.index_dest"", ""size_bytes"": 1024004096}, ""method"": ""hardlink"", ""source"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:a1a46c6e79201930f6bbc33bd7c7def6369d1ba063035d489b60efe71e56ac0a"", ""hash_scope"": ""full_file"", ""inode"": 88211883, ""mtime_ns"": 1780373805715957620, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_online_earlypq_no_retrain_1m_seed10000_merge_disk.index"", ""role"": ""smoke_before__disk.index_source"", ""size_bytes"": 1024004096}, ""suffix"": ""_disk.index""}, {""dest"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:0cb105b4f30532fbbd917e6245d95aee95d0ad67211a5b41b7750e36db608b0d"", ""hash_scope"": ""full_file"", ""inode"": 88211884, ""mtime_ns"": 1780373805715957620, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/indexes/smoke_pq_only_disk.index.tags"", ""role"": ""smoke_before__disk.index.tags_dest"", ""size_bytes"": 4000008}, ""method"": ""hardlink"", ""source"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:0cb105b4f30532fbbd917e6245d95aee95d0ad67211a5b41b7750e36db608b0d"", ""hash_scope"": ""full_file"", ""inode"": 88211884, ""mtime_ns"": 1780373805715957620, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_online_earlypq_no_retrain_1m_seed10000_merge_disk.index.tags"", ""role"": ""smoke_before__disk.index.tags_source"", ""size_bytes"": 4000008}, ""suffix"": ""_disk.index.tags""}, {""dest"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:b973bdfaabad695d9c34c0381c540ed645289cefba7cf380129d89139faf5643"", ""hash_scope"": ""full_file"", ""inode"": 88211897, ""mtime_ns"": 1780373806775931293, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/indexes/smoke_pq_only_labels.densebit"", ""role"": ""smoke_before__labels.densebit_dest"", ""size_bytes"": 931416}, ""method"": ""hardlink"", ""source"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:b973bdfaabad695d9c34c0381c540ed645289cefba7cf380129d89139faf5643"", ""hash_scope"": ""full_file"", ""inode"": 88211897, ""mtime_ns"": 1780373806775931293, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_online_earlypq_no_retrain_1m_seed10000_merge_labels.densebit"", ""role"": ""smoke_before__labels.densebit_source"", ""size_bytes"": 931416}, ""suffix"": ""_labels.densebit""}]",True,"[""hardlink""]",False,0,0,0,rebuild-pq-sidecar,1000000,16,True,/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/indexes/smoke_pq_only_pq_compressed.bin,10.551340103149414,True,/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/indexes/smoke_pq_only_pq_pivots.bin,disk_index_tag_order,"{""data_dim"": 128, ""data_points"": 1000000, ""disk_tags"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/indexes/smoke_pq_only_disk.index.tags"", ""input_order"": ""disk_index_tag_order"", ""ordered_data"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/data/pq_only_recode_order/smoke_pq_only_smoke_disk_order_data.bin"", ""ordered_data_size_bytes"": 512000008, ""source_live_data"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/data/segment00_1000000.bin"", ""tag_dim"": 1, ""tag_max"": 999999, ""tag_min"": 0, ""tag_points"": 1000000, ""tag_unique"": true, ""wall_s"": 1.0215649604797363}",2.87402,5.824038,2.94994,100055,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode rebuild-pq-sidecar --source-prefix /mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_online_earlypq_no_retrain_1m_seed10000_merge --jsonl-output /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/raw/pq_only_sidecar_rebuild.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --dest-prefix /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/indexes/smoke_pq_only --data-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_smoke_ordered_lsweep_20260603T053954Z/data/pq_only_recode_order/smoke_pq_only_smoke_disk_order_data.bin --pq-bytes 16,0,auto,60,1000000,"{""exists"": true, ""hash"": ""sha256:bdfdd499ec56b0f6fad3d2d893573cacae2b464069a05d62c374a9c757d74e18"", ""mtime_ns"": 1780373805719957520, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_online_earlypq_no_retrain_1m_seed10000_merge_pq_compressed.bin"", ""role"": ""smoke_source_pq_codes"", ""size_bytes"": 16000008}","{""exists"": true, ""hash"": ""sha256:def795f0878932dfb52dd6cf39520872a1112b5bc71dc4e8db7c1b36bb6873c5"", ""mtime_ns"": 1780373805727957321, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_online_earlypq_no_retrain_1m_seed10000_merge_pq_pivots.bin"", ""role"": ""smoke_source_pq_pivots"", ""size_bytes"": 136292}",/mnt/nvme1n1/PipeANN-github/experiments/v100_early_pq_10k_full_20260602T031600Z/indexes/phaseB_online_earlypq_no_retrain_1m_seed10000_merge,ok,False,1,False,5.824038
chain,0,60,16,1000000,0-15,16,True,1,128,1000000,1000000,"{""exists"": true, ""hash"": ""sha256:3372153ead65a9bea7ce49c3414476eee72d26e8d23df6c330e827b64c559584"", ""mtime_ns"": 1780466581934818196, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_pq_only_pq_compressed.bin"", ""role"": ""chain_cycle01_dest_pq_codes"", ""size_bytes"": 16000008}","{""exists"": true, ""hash"": ""sha256:b324d397e1091a39d5e221389d03a5de277dfea7a975c9cbf4a8c50919b87ced"", ""mtime_ns"": 1780466578094939158, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_pq_only_pq_pivots.bin"", ""role"": ""chain_cycle01_dest_pq_pivots"", ""size_bytes"": 136292}",/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_pq_only,False,True,1024004096,7.934353,chain_cycle01,1,,10000,16,False,/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/data/chain_cycle01_live_data_by_tag.bin,1000000,False,/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/logs/pq_only_chain_cycle01.log,pq_only_sidecar_recode,1831184,rebuild-pq-sidecar,"[{""dest"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_pq_only_disk.index"", ""method"": ""hardlink"", ""same_inode"": true, ""size_bytes"": 1024004096, ""source"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_after_insert_incremental_merge_disk.index""}, {""dest"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_pq_only_disk.index.tags"", ""method"": ""hardlink"", ""same_inode"": true, ""size_bytes"": 4000008, ""source"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_after_insert_incremental_merge_disk.index.tags""}, {""dest"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_pq_only_labels.densebit"", ""method"": ""hardlink"", ""same_inode"": true, ""size_bytes"": 931416, ""source"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_after_insert_incremental_merge_labels.densebit""}]","[{""dest"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:097c7779edcb93591309c1f00d953d445d8e92f52ec9422b67d6db2c28d32bb9"", ""hash_scope"": ""full_file"", ""inode"": 92274717, ""mtime_ns"": 1780466564551367406, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_pq_only_disk.index"", ""role"": ""chain_cycle01_after__disk.index_dest"", ""size_bytes"": 1024004096}, ""method"": ""hardlink"", ""source"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:097c7779edcb93591309c1f00d953d445d8e92f52ec9422b67d6db2c28d32bb9"", ""hash_scope"": ""full_file"", ""inode"": 92274717, ""mtime_ns"": 1780466564551367406, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_after_insert_incremental_merge_disk.index"", ""role"": ""chain_cycle01_after__disk.index_source"", ""size_bytes"": 1024004096}, ""suffix"": ""_disk.index""}, {""dest"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:345c7b5c75e9ded2899098acf625da281b3207cb17e346d5bb1e2ce090f62808"", ""hash_scope"": ""full_file"", ""inode"": 92274718, ""mtime_ns"": 1780466564551367406, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_pq_only_disk.index.tags"", ""role"": ""chain_cycle01_after__disk.index.tags_dest"", ""size_bytes"": 4000008}, ""method"": ""hardlink"", ""source"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:345c7b5c75e9ded2899098acf625da281b3207cb17e346d5bb1e2ce090f62808"", ""hash_scope"": ""full_file"", ""inode"": 92274718, ""mtime_ns"": 1780466564551367406, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_after_insert_incremental_merge_disk.index.tags"", ""role"": ""chain_cycle01_after__disk.index.tags_source"", ""size_bytes"": 4000008}, ""suffix"": ""_disk.index.tags""}, {""dest"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:82945cd42095d140731a461dcf117d05686fbb6817a99acbf08fc8906000ed60"", ""hash_scope"": ""full_file"", ""inode"": 92274721, ""mtime_ns"": 1780466565851326191, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_pq_only_labels.densebit"", ""role"": ""chain_cycle01_after__labels.densebit_dest"", ""size_bytes"": 931416}, ""method"": ""hardlink"", ""source"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:82945cd42095d140731a461dcf117d05686fbb6817a99acbf08fc8906000ed60"", ""hash_scope"": ""full_file"", ""inode"": 92274721, ""mtime_ns"": 1780466565851326191, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_after_insert_incremental_merge_labels.densebit"", ""role"": ""chain_cycle01_after__labels.densebit_source"", ""size_bytes"": 931416}, ""suffix"": ""_labels.densebit""}]","[{""dest"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:097c7779edcb93591309c1f00d953d445d8e92f52ec9422b67d6db2c28d32bb9"", ""hash_scope"": ""full_file"", ""inode"": 92274717, ""mtime_ns"": 1780466564551367406, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_pq_only_disk.index"", ""role"": ""chain_cycle01_before__disk.index_dest"", ""size_bytes"": 1024004096}, ""method"": ""hardlink"", ""source"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:097c7779edcb93591309c1f00d953d445d8e92f52ec9422b67d6db2c28d32bb9"", ""hash_scope"": ""full_file"", ""inode"": 92274717, ""mtime_ns"": 1780466564551367406, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_after_insert_incremental_merge_disk.index"", ""role"": ""chain_cycle01_before__disk.index_source"", ""size_bytes"": 1024004096}, ""suffix"": ""_disk.index""}, {""dest"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:345c7b5c75e9ded2899098acf625da281b3207cb17e346d5bb1e2ce090f62808"", ""hash_scope"": ""full_file"", ""inode"": 92274718, ""mtime_ns"": 1780466564551367406, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_pq_only_disk.index.tags"", ""role"": ""chain_cycle01_before__disk.index.tags_dest"", ""size_bytes"": 4000008}, ""method"": ""hardlink"", ""source"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:345c7b5c75e9ded2899098acf625da281b3207cb17e346d5bb1e2ce090f62808"", ""hash_scope"": ""full_file"", ""inode"": 92274718, ""mtime_ns"": 1780466564551367406, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_after_insert_incremental_merge_disk.index.tags"", ""role"": ""chain_cycle01_before__disk.index.tags_source"", ""size_bytes"": 4000008}, ""suffix"": ""_disk.index.tags""}, {""dest"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:82945cd42095d140731a461dcf117d05686fbb6817a99acbf08fc8906000ed60"", ""hash_scope"": ""full_file"", ""inode"": 92274721, ""mtime_ns"": 1780466565851326191, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_pq_only_labels.densebit"", ""role"": ""chain_cycle01_before__labels.densebit_dest"", ""size_bytes"": 931416}, ""method"": ""hardlink"", ""source"": {""device"": 66309, ""exists"": true, ""hash"": ""sha256:82945cd42095d140731a461dcf117d05686fbb6817a99acbf08fc8906000ed60"", ""hash_scope"": ""full_file"", ""inode"": 92274721, ""mtime_ns"": 1780466565851326191, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_after_insert_incremental_merge_labels.densebit"", ""role"": ""chain_cycle01_before__labels.densebit_source"", ""size_bytes"": 931416}, ""suffix"": ""_labels.densebit""}]",True,"[""hardlink""]",False,0,0,0,rebuild-pq-sidecar,1000000,16,True,/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_pq_only_pq_compressed.bin,12.658262491226196,True,/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_pq_only_pq_pivots.bin,disk_index_tag_order,"{""data_dim"": 128, ""data_points"": 1000000, ""disk_tags"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_pq_only_disk.index.tags"", ""input_order"": ""disk_index_tag_order"", ""ordered_data"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/data/pq_only_recode_order/chain_cycle01_pq_only_chain_cycle01_disk_order_data.bin"", ""ordered_data_size_bytes"": 512000008, ""source_live_data"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/data/chain_cycle01_live_data_by_tag.bin"", ""tag_dim"": 1, ""tag_max"": 999999, ""tag_min"": 0, ""tag_points"": 1000000, ""tag_unique"": true, ""wall_s"": 0.9697110652923584}",3.84229,7.934353,4.092,100408,/mnt/nvme1n1/PipeANN-github/build_reviewed_20260602_querycache/tests/dynamic_update_suite_driver --mode rebuild-pq-sidecar --source-prefix /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_after_insert_incremental_merge --jsonl-output /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/raw/pq_only_sidecar_rebuild.jsonl --insert-threads 16 --search-threads 1 --merge-threads 16 --build-l 220 --build-r 116 --beamwidth 4 --k 10 --cpu-cap 16 --metric l2 --dest-prefix /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_pq_only --data-bin /mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/data/pq_only_recode_order/chain_cycle01_pq_only_chain_cycle01_disk_order_data.bin --pq-bytes 16,0,auto,60,1000000,"{""exists"": true, ""hash"": ""sha256:1acbe09fc4c45a1c0fbd514361e504bd308eb15651affcb9a289858ae115b830"", ""mtime_ns"": 1780466564555367280, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_after_insert_incremental_merge_pq_compressed.bin"", ""role"": ""chain_cycle01_source_pq_codes"", ""size_bytes"": 16000008}","{""exists"": true, ""hash"": ""sha256:def795f0878932dfb52dd6cf39520872a1112b5bc71dc4e8db7c1b36bb6873c5"", ""mtime_ns"": 1780466564563367026, ""path"": ""/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_after_insert_incremental_merge_pq_pivots.bin"", ""role"": ""chain_cycle01_source_pq_pivots"", ""size_bytes"": 136292}",/mnt/nvme1n1/PipeANN-github/experiments/v100_pq_only_chain_1m_20260603T055115Z/indexes/chain_cycle01_after_insert_incremental_merge,ok,False,1,False,7.934353
