case_id,cycle_idx,variant,selector_type,bucket,result_source,route,actual_route,configured_L,search_l,recall@10,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,qps,mean_candidate_count,mean_route_overhead_us,prefilter_count,graph_count,fallback_count,cpu_cap_enforced,supports_recall_claim,selection_policy,source_prefix
cycle01_retrain_each_cycle_range_u1e-01,1,retrain_each_cycle,range,u1e-01,original_selected,prefilter,prefilter,150,150,98.24,1641.407522,1576.378,1813.543,1831.587,609.195521,100000.0,165.795,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_retrain_each_cycle
cycle01_retrain_each_cycle_range_u25,1,retrain_each_cycle,range,u25,original_selected,prefilter,prefilter,250,250,98.67,3643.535926,3585.591,3822.424,3847.756,274.44551,250000.0,331.171,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_retrain_each_cycle
cycle01_retrain_each_cycle_range_u30,1,retrain_each_cycle,range,u30,original_selected,prefilter,prefilter,300,300,99.03,4359.402997,4297.764,4534.269,4549.503,229.381129,300000.0,394.507,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_retrain_each_cycle
cycle01_retrain_each_cycle_range_u50,1,retrain_each_cycle,range,u50,original_selected,prefilter,prefilter,250,250,98.29,6762.770617,6703.713,6936.098,6984.492,147.8647,500000.0,611.063,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_retrain_each_cycle
cycle01_retrain_each_cycle_range_u75,1,retrain_each_cycle,range,u75,original_selected,graph,mixed,400,400,98.4,8280.981479,8217.307,8628.536,9058.1,120.755986,750000.0,58.265,0,0,1000,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_retrain_each_cycle
cycle01_retrain_each_cycle_range_u100,1,retrain_each_cycle,range,u100,original_selected,graph,mixed,300,300,98.08,6293.206499,6270.236,6506.266,6719.982,158.897439,1000000.0,61.674,0,0,1000,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_retrain_each_cycle
cycle01_no_retrain_across_cycles_intersect_u1e-03,1,no_retrain_across_cycles,intersect,u1e-03,original_selected,prefilter,prefilter,50,50,99.94,153.074335,151.893,161.993,200.098,6530.195506,1000.0,51.571,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_intersect_u3e-03,1,no_retrain_across_cycles,intersect,u3e-03,original_selected,prefilter,prefilter,50,50,99.71,202.198647,198.757,221.27,260.233,4943.530496,3000.0,64.557,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_intersect_u1e-02,1,no_retrain_across_cycles,intersect,u1e-02,original_selected,prefilter,prefilter,75,75,99.66,417.443244,412.089,450.637,487.322,2394.788379,10000.0,133.753,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_intersect_u5e-02,1,no_retrain_across_cycles,intersect,u5e-02,original_selected,prefilter,prefilter,75,75,99.26,1142.426079,1130.499,1206.944,1245.476,875.2192,50000.0,226.955,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_intersect_u1e-01,1,no_retrain_across_cycles,intersect,u1e-01,original_selected,prefilter,prefilter,100,100,98.15,1770.397113,1739.654,1979.857,2008.992,564.781514,100000.0,267.197,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_intersect_u25,1,no_retrain_across_cycles,intersect,u25,original_selected,prefilter,prefilter,100,100,98.14,3693.141303,3656.083,3891.643,3919.106,270.758291,250000.0,402.337,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
cycle01_no_retrain_across_cycles_intersect_u30,1,no_retrain_across_cycles,intersect,u30,original_selected,prefilter,prefilter,250,250,98.7,4613.947169,4416.461,5982.138,6249.095,216.722326,300000.0,455.918,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle01_no_retrain_after_insert
