L,avg_await_ms,avg_cpu_pct,avg_disk_util_pct,avg_latency_us,avg_read_iops,avg_read_mb_s,avg_write_iops,avg_write_mb_s,beamwidth,bucket_label,bucket_lower,bucket_midpoint,bucket_name,bucket_query_count,bucket_upper,configured_L,configured_route,dataset,device,elapsed_s,empty_count,fallback_count,format,graph_count,hybrid_enabled,index_prefix,max_await_ms,max_cpu_pct,max_disk_util_pct,max_read_iops,max_read_mb_s,max_rss_kb,max_write_iops,max_write_mb_s,mean_candidate_count,mean_hops,mean_ios,mean_route_overhead_us,mem_L,p99_latency_us,peak_memory_kb,prefilter_count,prefilter_rerank_l,prefilter_rerank_source,process_max_rss_kb,qps,query_count,query_label_file,recall,recall_at,returncode,route,sample_count,selectivity_lower,selectivity_midpoint,selectivity_upper,selector_type,target_threads,threads
100,,483.417219,0.0,1464.16394,0.0,0.0,0.0,0.0,4,1.0%,0.01,0.01,u1,1000,0.01,100,auto,fashion_mnist784,nvme1n1,3.009822,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1677.660539,0.0,0.0,0.0,18708,0.0,0.0,600.0,0.0,128.0,2.439,0,3761.0,34300,1000,,default-heuristic,18708,2693.607666,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u1/queries.spmat,,10,0,auto,7,0.01,0.01,0.01,intersect,4,4
100,,682.900296,0.0,4052.422119,0.0,0.0,0.0,0.0,4,1.0%,0.01,0.01,u1,1000,0.01,100,auto,fashion_mnist784,nvme1n1,3.511494,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1871.156568,0.0,0.0,0.0,21408,0.0,0.0,600.0,0.0,128.0,2.935,0,5963.0,36740,1000,,default-heuristic,21408,1964.722046,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u1/queries.spmat,,10,0,auto,8,0.01,0.01,0.01,intersect,8,8
100,,220.276388,0.0,843.588989,0.0,0.0,0.0,0.0,4,2.0%,0.02,0.02,u2,1000,0.02,100,auto,fashion_mnist784,nvme1n1,5.016425,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1506.116486,0.0,0.0,0.0,17076,0.0,0.0,1200.0,0.0,128.0,2.116,0,2901.0,31840,1000,,default-heuristic,17076,1174.258911,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u2/queries.spmat,,10,0,auto,11,0.02,0.02,0.02,intersect,1,1
100,,314.946014,0.0,1112.635986,0.0,0.0,0.0,0.0,4,2.0%,0.02,0.02,u2,1000,0.02,100,auto,fashion_mnist784,nvme1n1,4.013386,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1535.960677,0.0,0.0,0.0,17488,0.0,0.0,1200.0,0.0,128.0,2.205,0,2335.0,32576,1000,,default-heuristic,17488,1782.809326,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u2/queries.spmat,,10,0,auto,9,0.02,0.02,0.02,intersect,2,2
100,,481.413239,0.0,1485.256958,0.0,0.0,0.0,0.0,4,2.0%,0.02,0.02,u2,1000,0.02,100,auto,fashion_mnist784,nvme1n1,3.009888,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1669.614923,0.0,0.0,0.0,18792,0.0,0.0,1200.0,0.0,128.0,2.358,0,2870.0,34072,1000,,default-heuristic,18792,2658.570312,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u2/queries.spmat,,10,0,auto,7,0.02,0.02,0.02,intersect,4,4
100,,682.316216,0.0,3276.062012,0.0,0.0,0.0,0.0,4,2.0%,0.02,0.02,u2,1000,0.02,100,auto,fashion_mnist784,nvme1n1,3.010334,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1855.171579,0.0,0.0,0.0,21468,0.0,0.0,1200.0,0.0,128.0,2.868,0,4947.0,37024,1000,,default-heuristic,21468,2426.817871,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u2/queries.spmat,,10,0,auto,7,0.02,0.02,0.02,intersect,8,8
100,,191.789539,0.0,1034.72998,0.0,0.0,0.0,0.0,4,5.0%,0.05,0.05,u5,1000,0.05,100,auto,fashion_mnist784,nvme1n1,6.522775,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1501.915999,0.0,0.0,0.0,16996,0.0,0.0,3000.0,0.0,160.0,1.382,0,2284.0,31920,1000,,default-heuristic,16996,956.32135,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u5/queries.spmat,,10,0,auto,14,0.05,0.05,0.05,intersect,1,1
100,,304.707387,0.0,1306.220947,0.0,0.0,0.0,0.0,4,5.0%,0.05,0.05,u5,1000,0.05,100,auto,fashion_mnist784,nvme1n1,4.515808,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1563.769031,0.0,0.0,0.0,17472,0.0,0.0,3000.0,0.0,160.0,1.781,0,2455.0,32572,1000,,default-heuristic,17472,1499.791138,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u5/queries.spmat,,10,0,auto,10,0.05,0.05,0.05,intersect,2,2
100,,417.59718,0.0,1177.003052,0.0,0.0,0.0,0.0,4,5.0%,0.05,0.05,u5,1000,0.05,100,auto,fashion_mnist784,nvme1n1,4.013437,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1679.795116,0.0,0.0,0.0,18732,0.0,0.0,3000.0,0.0,160.0,1.322,0,1993.0,34172,1000,,default-heuristic,18732,3277.04248,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u5/queries.spmat,,10,0,auto,9,0.05,0.05,0.05,intersect,4,4
100,,679.548366,0.0,4500.733887,0.0,0.0,0.0,0.0,4,5.0%,0.05,0.05,u5,1000,0.05,100,auto,fashion_mnist784,nvme1n1,3.511156,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/fashion_mnist784/fashion_mnist784_qps4_pipeann,0.0,1873.131179,0.0,0.0,0.0,21560,0.0,0.0,3000.0,0.0,160.0,2.468,0,7511.0,37144,1000,,default-heuristic,21560,1764.258911,1000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/fashion_mnist784/workloads/uniform_exact_selectivity/u5/queries.spmat,,10,0,auto,8,0.05,0.05,0.05,intersect,8,8
