format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,resolved_route,L,hybrid_enabled,tau_m,threshold_version,min_tau_m,max_tau_m,min_threshold_version,max_threshold_version,qps,avg_latency_us,p50_latency_us,p90_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,process_max_rss_kb,max_rss_kb,recall,recall@10,chosen_L,status,bucket,filter_type,points,selected_route,exp6_latency_budget_ms,within_latency_budget,threshold_exceeded,target_recall@10,source_experiment
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,11,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,13454.6875,805.03302,830.0,966.0,1021.0,1227.0,1612.0,0.0,96.0,1000.0,9.762,0,1000,0,0,10,35196,35196,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,12,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,13880.875977,850.911987,856.0,944.0,972.0,1387.0,2028.0,0.0,96.0,1000.0,11.392,0,1000,0,0,10,35644,35644,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,13,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,14145.40918,904.765991,876.0,1027.0,1129.0,1560.0,2115.0,0.0,96.0,1000.0,10.806,0,1000,0,0,10,36504,36504,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,14,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,14152.501953,974.004028,950.0,1119.0,1163.0,1489.0,2164.0,0.0,96.0,1000.0,9.0,0,1000,0,0,10,36964,36964,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,15,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,14483.241211,1018.866028,973.0,1125.0,1199.0,1811.0,2551.0,0.0,96.0,1000.0,9.791,0,1000,0,0,10,37808,37808,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,1000,16,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,13571.362305,1159.494995,1051.0,1497.0,1619.0,2467.0,3430.0,0.0,96.0,1000.0,15.937,0,1000,0,0,10,38476,38476,100.0,100.0,10,ok,u1e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,5735.660156,163.005997,162.0,168.0,170.0,197.0,430.0,0.0,96.0,3000.0,9.186,0,1000,0,0,10,28932,28932,99.940002,99.940002,10,ok,u3e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,2,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,9441.96875,198.785004,179.0,241.0,333.0,546.0,930.0,0.0,96.0,3000.0,10.537,0,1000,0,0,10,29448,29448,99.940002,99.940002,10,ok,u3e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,3,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,12159.407227,232.449997,205.0,345.0,521.0,572.0,907.0,0.0,96.0,3000.0,11.641,0,1000,0,0,10,30308,30308,99.940002,99.940002,10,ok,u3e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,4,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,16080.263672,235.100006,221.0,286.0,333.0,576.0,885.0,0.0,96.0,3000.0,10.73,0,1000,0,0,10,30696,30696,99.940002,99.940002,10,ok,u3e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
