dataset,bucket_name,selectivity,thread,route_decision,qps,query_p99_latency_us,query_p999_latency_us,cpu_pct,mean_ios,real_read_iops,real_read_mb_s,real_iops,real_mb_s,real_qd,real_read_await_ms,real_ssd_lat_status,real_ssd_lat_p50_ms,real_ssd_lat_p95_ms,real_ssd_lat_p99_ms,fio_matched_iodepth,fio_matched_achieved_qd,fio_iops,fio_mb_s,fio_bw_mb_s,iops_vs_fio_ratio,bw_vs_fio_ratio,fio_lat_mean_ms,fio_lat_p99_ms,fio_capacity_ratio,disk_metrics_status,bottleneck_conclusion
fashion_mnist784,u0p1,0.001,1,prefilter,11612.112305,98.0,410.0,739.656674,60.0,0.0,0.0,0.0,0.0,0.025814,,unavailable_no_events,,,,1,1.0,11124.629179,43.45558261871338,43.45558261871338,0.0,0.0,0.087434355233,0.11008,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u0p1,0.001,4,prefilter,20859.009766,232.0,570.0,800.295562,60.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,43596.046798,170.29705715179443,170.29705715179443,0.0,0.0,0.089322793022,0.136192,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u0p1,0.001,8,prefilter,12714.708008,857.0,1074.0,848.257863,60.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,85020.9993,332.1134080886841,332.1134080886841,0.0,0.0,0.091665037879,0.154624,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u0p5,0.005,1,prefilter,6331.82666,182.0,832.0,521.599704,96.0,5.957357,0.025857,5.957357,0.025857,0.001324,0.111111,unavailable_no_events,,,,1,1.0,11124.629179,43.45558261871338,43.45558261871338,0.0005355106138050627,0.0005950213630058464,0.087434355233,0.11008,0.0005950213630058464,ok,io_latency_or_queue_underfilled
fashion_mnist784,u0p5,0.005,4,prefilter,12500.199219,368.0,706.0,781.423695,96.0,0.0,0.0,0.0,0.0,0.000993,,unavailable_no_events,,,,1,1.0,43596.046798,170.29705715179443,170.29705715179443,0.0,0.0,0.089322793022,0.136192,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u0p5,0.005,8,prefilter,9069.739258,1021.0,1339.0,554.438162,96.0,0.0,0.0,0.0,0.0,0.000662,,unavailable_no_events,,,,1,1.0,85020.9993,332.1134080886841,332.1134080886841,0.0,0.0,0.091665037879,0.154624,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u1,0.01,1,prefilter,4326.518555,266.0,627.0,410.508614,128.0,7.942126,0.034902,7.942126,0.034902,0.002482,0.1875,unavailable_no_events,,,,1,1.0,11124.629179,43.45558261871338,43.45558261871338,0.0007139227629261008,0.0008031649306427679,0.087434355233,0.11008,0.0008031649306427679,ok,io_latency_or_queue_underfilled
fashion_mnist784,u1,0.01,4,prefilter,9261.589844,560.0,995.0,764.563412,128.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,43596.046798,170.29705715179443,170.29705715179443,0.0,0.0,0.089322793022,0.136192,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u1,0.01,8,prefilter,6723.282227,1393.0,1756.0,788.341081,128.0,0.0,0.0,0.0,0.0,0.001986,,unavailable_no_events,,,,1,1.0,85020.9993,332.1134080886841,332.1134080886841,0.0,0.0,0.091665037879,0.154624,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u5,0.05,1,prefilter,2326.593018,617.0,1281.0,301.439579,160.0,33.419756,0.146056,33.419756,0.146056,0.005956,0.168317,unavailable_no_events,,,,1,1.0,11124.629179,43.45558261871338,43.45558261871338,0.0030041231453437197,0.003361041118272881,0.087434355233,0.11008,0.003361041118272881,ok,io_latency_or_queue_underfilled
