format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,L,hybrid_enabled,qps,avg_latency_us,p99_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,process_max_rss_kb,max_rss_kb,recall,recall@10,chosen_L,status,state,bucket,filter_type,points,selected_route,target_recall@10,exp4_pq_bytes,calibration_recall@10,calibration_avg_latency_us,search_max_rss_kb,rss_before_query_kb,rss_after_query_kb,query_peak_rss_kb,query_peak_delta_kb,rss_mode,rss_single_query_kb,rss_single_query_avg_latency_us,rss_single_query_recall@10
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u1e-03.spmat,1000,1,4,0,prefilter,10,False,2420.461182,355.667999,846.0,0.0,96.0,1000.0,15.533,0,1000,0,0,10,12560,12560,100.0,100.0,10,ok,1m_direct,u1e-03,intersect,1000000,prefilter,98.0,32,100.0,363.401001,44376,,,,,single_query_process_no_query_files,12560,2004.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u3e-03.spmat,1000,1,4,0,prefilter,10,False,1959.374634,447.774994,1290.0,0.0,96.0,3000.0,17.251,0,1000,0,0,10,12660,12660,100.0,100.0,10,ok,1m_direct,u3e-03,intersect,1000000,prefilter,98.0,32,100.0,418.589996,44396,,,,,single_query_process_no_query_files,12660,2979.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u1e-02.spmat,1000,1,4,0,prefilter,10,False,1343.78479,679.422974,997.0,0.0,128.0,10000.0,16.153,0,1000,0,0,10,12684,12684,100.0,100.0,10,ok,1m_direct,u1e-02,intersect,1000000,prefilter,98.0,32,100.0,682.20697,44916,,,,,single_query_process_no_query_files,12684,5102.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u5e-02.spmat,1000,1,4,0,prefilter,10,False,566.97052,1659.525024,2849.0,0.0,160.0,50000.0,17.447,0,1000,0,0,10,13152,13152,100.0,100.0,10,ok,1m_direct,u5e-02,intersect,1000000,prefilter,98.0,32,100.0,1648.542969,45232,,,,,single_query_process_no_query_files,13152,16285.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u1e-01.spmat,1000,1,4,0,prefilter,10,False,363.686798,2595.327881,4471.0,0.0,160.0,100000.0,16.848,0,1000,0,0,10,13388,13388,100.0,100.0,10,ok,1m_direct,u1e-01,intersect,1000000,prefilter,98.0,32,100.0,2589.829102,45988,,,,,single_query_process_no_query_files,13388,25601.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u25.spmat,1000,1,4,0,graph,150,False,307.208038,3181.913086,4278.0,0.0,163.587006,250000.0,17.508,0,0,1000,0,10,16856,16856,98.389999,98.389999,150,ok,1m_direct,u25,intersect,1000000,graph,98.0,32,98.389999,3186.118896,45824,,,,,single_query_process_no_query_files,16856,31989.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u30.spmat,1000,1,4,0,graph,150,False,319.201599,3059.465088,4829.0,0.0,163.591995,300000.0,17.44,0,0,1000,0,10,16944,16944,98.709999,98.709999,150,ok,1m_direct,u30,intersect,1000000,graph,98.0,32,98.709999,3188.548096,45892,,,,,single_query_process_no_query_files,16944,31927.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u50.spmat,1000,1,4,0,graph,100,False,418.268646,2322.779053,14603.0,0.0,114.468002,500000.0,20.709,0,0,1000,0,10,16876,16876,98.800003,98.800003,100,ok,1m_direct,u50,intersect,1000000,graph,98.0,32,98.800003,2322.915039,45308,,,,,single_query_process_no_query_files,16876,24318.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u75.spmat,1000,1,4,0,graph,75,False,544.325989,1791.901001,2520.0,0.0,90.209999,750000.0,14.915,0,0,1000,0,10,16748,16748,99.099998,99.099998,75,ok,1m_direct,u75,intersect,1000000,graph,98.0,32,99.099998,1826.18396,45280,,,,,single_query_process_no_query_files,16748,22280.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/exp4_intersect_range_selectivity/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r75_suite/labels/query_1000_u100.spmat,1000,1,4,0,graph,50,False,710.587341,1371.649048,2510.0,0.0,66.444,1000000.0,15.015,0,0,1000,0,10,16976,16976,98.440002,98.440002,50,ok,1m_direct,u100,intersect,1000000,graph,98.0,32,98.440002,1373.01001,45256,,,,,single_query_process_no_query_files,16976,7657.0,
