format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,resolved_route,L,hybrid_enabled,tau_m,threshold_version,min_tau_m,max_tau_m,min_threshold_version,max_threshold_version,qps,avg_latency_us,p50_latency_us,p90_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,process_max_rss_kb,max_rss_kb,recall,bucket,selectivity,selectivity_percent,chosen_L,recall@10,latency_avg_ms,calibration_wall_s,status,raw_jsonl_path,log_path
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,50,True,0,1,0,0,1,1,719.708008,1341.233032,1339.0,1423.0,1455.0,1526.0,1999.0,0.0,65.055,250000.0,15.114,0,0,1000,0,10,29844,29844,67.510002,u25,0.25,25.0,50,67.510002,1.341233032,1.4242994785308838,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u25_graph_L50.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u25_graph_L50.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,75,True,0,1,0,0,1,1,543.095703,1784.189941,1781.0,1867.0,1902.0,1969.0,2333.0,0.0,88.959999,250000.0,15.24,0,0,1000,0,10,29716,29716,77.239998,u25,0.25,25.0,75,77.239998,1.7841899410000002,1.8570351600646973,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u25_graph_L75.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u25_graph_L75.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,100,True,167093,1,167093,167093,1,1,416.663025,2304.565918,2297.0,2407.0,2433.0,2511.0,4266.0,0.0,113.264999,250000.0,21.984,0,0,1000,0,10,30352,30352,83.209999,u25,0.25,25.0,100,83.209999,2.3045659179999998,2.434251546859741,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u25_graph_L100.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u25_graph_L100.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,125,True,0,1,0,0,1,1,358.478546,2701.069092,2693.0,2782.0,2817.0,2890.0,4018.0,0.0,137.839996,250000.0,16.949,0,0,1000,0,10,30076,30076,87.370003,u25,0.25,25.0,125,87.370003,2.701069092,2.8233213424682617,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u25_graph_L125.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u25_graph_L125.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,150,True,0,1,0,0,1,1,306.550293,3165.60791,3156.0,3255.0,3286.0,3355.0,4449.0,0.0,162.559006,250000.0,17.085,0,0,1000,0,10,30076,30076,90.290001,u25,0.25,25.0,150,90.290001,3.1656079100000003,3.2966859340667725,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u25_graph_L150.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u25_graph_L150.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,200,True,0,1,0,0,1,1,238.109772,4091.353027,4080.0,4181.0,4210.0,4319.0,5551.0,0.0,212.110001,250000.0,16.903,0,0,1000,0,10,30144,30144,93.870003,u25,0.25,25.0,200,93.870003,4.091353027,4.234175682067871,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u25_graph_L200.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u25_graph_L200.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,300,True,0,1,0,0,1,1,163.207153,5967.839844,5959.0,6069.0,6102.0,6229.0,6930.0,0.0,311.519012,250000.0,17.284,0,0,1000,0,10,31296,31296,96.800003,u25,0.25,25.0,300,96.800003,5.967839844,6.14341926574707,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u25_graph_L300.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u25_graph_L300.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u25.spmat,1000,1,4,0,graph,graph,400,True,0,1,0,0,1,1,124.567451,7845.196777,7833.0,7948.0,7986.0,8148.0,10051.0,0.0,411.110992,250000.0,17.244,0,0,1000,0,10,31220,31220,98.379997,u25,0.25,25.0,400,98.379997,7.845196777,8.060879707336426,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u25_graph_L400.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u25_graph_L400.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u30.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,243.057373,3748.625,3709.0,3936.0,3947.0,4001.0,4109.0,0.0,192.0,300000.0,17.124,0,1000,0,0,10,31680,31680,99.519997,u30,0.3,30.0,10,99.519997,3.748625,4.130209684371948,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u30_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u30_prefilter_L10.json
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u30.spmat,1000,1,4,0,graph,graph,10,True,0,1,0,0,1,1,1326.498413,732.247009,724.0,869.0,915.0,1025.0,1438.0,0.0,32.172001,300000.0,14.501,0,0,1000,0,10,28796,28796,33.139999,u30,0.3,30.0,10,33.139999,0.7322470090000001,0.7698009014129639,failed_recall,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/intersect_u30_graph_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/intersect_u30_graph_L10.json
