role,path,size_bytes,mtime_ns,sha256
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u75.spmat,16032,1779178796359835198,0a965dc40d1bdcca19a8197448f78ceb14d3ea7918ee804d7c045a464df1835a
truth,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_intersect_u100.bin,120008,1779180101422984751,d15d435712b52f7031324018985dd4b944e45c51c2135d80cfcd43997e7042c5
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u100.spmat,16032,1779178796359835198,69166383b6ccda6655aa66c2eb80e3dbf80ec89e8e32bf79ae717fd2980fb9d1
truth,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_range_u1e-03.bin,120008,1779180111131080273,df12abd8984b59b8a42fcb7a2fc9ce83b369a1b39cc781f971feeb0b20a3f661
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u1e-03.spmat,16032,1779178796359835198,15a401562c8486ac13d8f24ec4baf663f67c9997386f64164e50642e39278e45
truth,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_range_u3e-03.bin,120008,1779180116127128928,141d6ec9353eb15bed4616b99b20d876ea2ffb2e1d7d76fe32636aba4f4fc7e1
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u3e-03.spmat,24032,1779178796359835198,47518625a58c733cfc0fea0c6a74587d9b515a2084836f210b1373c375f169a6
truth,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_range_u1e-02.bin,120008,1779180121991185607,6654846834a65bee84f2abb88e6f1fd38ab46a75e7341f45160026c14a270579
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u1e-02.spmat,24032,1779178796359835198,3341706fbe01d9fd49ec50b07d429dca6fd659216689aed394c634baa9c4bfc7
truth,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_range_u5e-02.bin,120008,1779180130811269989,678d8eee5f6cb67be0550e9464b020bd011a7d529a63dd82ccab4471fb19e3ba
query_label,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u5e-02.spmat,24032,1779178796359835198,5337d8e069d002e9cfabb9178f4f9c0d3030420fce6d61073c5e93758febddfb
truth,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_range_u1e-01.bin,120008,1779180147843430060,d33d070a7934f2535a90ee40ad1f92443e31db119e6c1cc9ae60db4a32de7a4e
