format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,resolved_route,L,hybrid_enabled,tau_m,threshold_version,min_tau_m,max_tau_m,min_threshold_version,max_threshold_version,qps,avg_latency_us,p50_latency_us,p90_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,process_max_rss_kb,max_rss_kb,recall,bucket,selectivity,selectivity_percent,chosen_L,recall@10,latency_avg_ms,calibration_wall_s,status,raw_jsonl_path,log_path,selected_route,selected_L,selection_status,route_candidates
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u1e-03.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,7455.903809,86.264999,86.0,89.0,91.0,92.0,207.0,0.0,96.0,1000.0,7.052,0,1000,0,0,10,28816,28816,100.0,u1e-03,0.001,0.1,10,100.0,0.08626499900000001,0.1495068073272705,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/range_u1e-03_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/range_u1e-03_prefilter_L10.json,prefilter,10,ok,prefilter
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u3e-03.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,5248.304688,133.436005,131.0,137.0,157.0,259.0,417.0,0.0,96.0,3000.0,12.424,0,1000,0,0,10,29020,29020,99.949997,u3e-03,0.003,0.3,10,99.949997,0.133436005,0.22420811653137207,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/range_u3e-03_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/range_u3e-03_prefilter_L10.json,prefilter,10,ok,prefilter
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u1e-02.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,2777.62085,279.549011,274.0,292.0,305.0,373.0,701.0,0.0,128.0,10000.0,29.892,0,1000,0,0,10,28908,28908,99.949997,u1e-02,0.01,1.0,10,99.949997,0.279549011,0.3948817253112793,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/range_u1e-02_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/range_u1e-02_prefilter_L10.json,prefilter,10,ok,prefilter
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u5e-02.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,1013.639099,854.390015,859.0,891.0,902.0,977.0,1805.0,0.0,160.0,50000.0,43.877,0,1000,0,0,10,29616,29616,99.839996,u5e-02,0.05,5.0,10,99.839996,0.854390015,1.020259141921997,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/range_u5e-02_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/range_u5e-02_prefilter_L10.json,prefilter,10,ok,prefilter
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u1e-01.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,595.513184,1494.045044,1448.0,1659.0,1667.0,1727.0,3044.0,0.0,160.0,100000.0,50.749,0,1000,0,0,10,30616,30616,99.730003,u1e-01,0.1,10.0,10,99.730003,1.494045044,1.712958812713623,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/range_u1e-01_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/range_u1e-01_prefilter_L10.json,prefilter,10,ok,prefilter
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u25.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,278.487671,3231.943115,3189.0,3418.0,3425.0,3457.0,5063.0,0.0,192.0,250000.0,60.824,0,1000,0,0,10,31588,31588,99.730003,u25,0.25,25.0,10,99.730003,3.231943115,3.624197483062744,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/range_u25_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/range_u25_prefilter_L10.json,prefilter,10,ok,"prefilter,graph"
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u30.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,216.329971,4156.986816,3763.0,5304.0,5321.0,5351.0,6110.0,0.0,192.0,300000.0,77.036,0,1000,0,0,10,32056,32056,99.519997,u30,0.3,30.0,10,99.519997,4.156986816,4.655761003494263,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/range_u30_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/range_u30_prefilter_L10.json,prefilter,10,ok,"prefilter,graph"
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u50.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,151.601303,5956.376953,5947.0,5975.0,5985.0,6200.0,6723.0,0.0,192.0,500000.0,80.85,0,1000,0,0,10,33860,33860,99.220001,u50,0.5,50.0,10,99.220001,5.956376953,6.612485885620117,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/range_u50_prefilter_L10.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/range_u50_prefilter_L10.json,prefilter,10,ok,"prefilter,graph"
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u75.spmat,1000,1,4,0,graph,graph,200,True,0,1,0,0,1,1,232.145874,4186.459961,4179.0,4282.0,4325.0,4425.0,5718.0,0.0,212.104996,750000.0,100.909,0,0,1000,0,10,30864,30864,98.550003,u75,0.75,75.0,200,98.550003,4.186459961,4.34232234954834,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/range_u75_graph_L200.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/range_u75_graph_L200.json,graph,200,ok,"prefilter,graph"
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/tmp/direct_1m_pq16,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_range_u100.spmat,1000,1,4,0,graph,graph,150,True,0,1,0,0,1,1,298.55426,3252.326904,3242.0,3341.0,3371.0,3472.0,4492.0,0.0,162.559998,1000000.0,100.707,0,0,1000,0,10,30824,30824,98.449997,u100,1.0,100.0,150,98.449997,3.252326904,3.3830864429473877,ok,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/calibration/range_u100_graph_L150.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/calibration/range_u100_graph_L150.json,graph,150,ok,"prefilter,graph"
