mode,route,threads,insert_threads,points,chosen_L,max_rss_kb,live_point_count,elapsed_s,qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,recall@10,process_max_rss_kb,rss_before_query_kb,rss_after_query_kb,query_peak_rss_kb,query_peak_delta_kb,mean_candidate_count,mean_route_overhead_us,prefilter_count,graph_count,fallback_count,empty_count,min_threshold,max_threshold,status,state,bucket,selected_route,target_recall@10,exp4_pq_bytes,calibration_recall@10,calibration_avg_latency_us,search_max_rss_kb,rss_mode,rss_single_query_kb,rss_single_query_avg_latency_us,rss_single_query_recall@10
measure-dynamic-search,prefilter,1,1,750000,10,18084,750000,6.358209,157.277003,6357.970957,6076.669,7376.782,11493.162,100.0,18084,15160,18076,18076,2916,250000.0,338.617,1000,0,0,0,0,0,ok,750k_after_delete,u25,prefilter,98.0,32,100.0,14275.743681,227612,single_query_process_no_query_files,18084,34994.507,0.0
measure-dynamic-search,prefilter,1,1,750000,10,18188,750000,7.227139,138.367341,7226.90129,7012.028,8155.962,12133.874,99.77,18188,15044,18180,18180,3136,300000.0,375.628,1000,0,0,0,0,0,ok,750k_after_delete,u30,prefilter,98.0,32,99.77,13959.22371,227536,single_query_process_no_query_files,18188,41896.583,0.0
measure-dynamic-search,graph,1,1,750000,75,20180,750000,6.705545,149.130301,6705.137283,6671.949,7071.067,7518.664,98.03,20180,14996,16228,19796,4800,500000.0,26.181,0,0,1000,0,0,0,ok,750k_after_delete,u50,graph,98.0,32,98.03,9710.956856,227756,single_query_process_no_query_files,20180,15877.952,0.0
measure-dynamic-search,graph,1,1,750000,75,21096,750000,6.672341,149.872438,6671.993249,6636.699,7028.704,7465.088,98.62,21096,15160,16452,20136,4976,750000.0,26.161,0,0,1000,0,0,0,ok,750k_after_delete,u75,graph,98.0,32,98.62,13993.285346,227372,single_query_process_no_query_files,21096,17549.551,0.0
measure-dynamic-search,graph,1,1,750000,75,20016,750000,6.652439,150.320817,6652.025672,6611.395,7015.525,7465.949,98.62,20016,15008,16328,19888,4880,750000.0,26.42,0,0,1000,0,0,0,ok,750k_after_delete,u100,graph,98.0,32,98.62,34286.359796,227500,single_query_process_no_query_files,20016,17539.959,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,18696,1000000,0.53021,1886.046585,530.087454,454.935,997.832,1618.639,99.99,18696,15824,16792,18696,2872,1000.0,66.684,1000,0,0,0,0,0,ok,1m_after_reinsert,u1e-03,prefilter,98.0,32,99.99,6892.077896,273248,single_query_process_no_query_files,18696,3154.379,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,17636,1000000,0.73165,1366.774629,731.373533,639.189,1166.856,1888.046,100.0,17636,15956,17076,17508,1552,3000.0,85.598,1000,0,0,0,0,0,ok,1m_after_reinsert,u3e-03,prefilter,98.0,32,100.0,6537.850408,273404,single_query_process_no_query_files,17636,3944.186,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,17208,1000000,1.427567,700.492706,1427.227534,1334.432,2072.835,3289.667,100.0,17208,15952,17096,17208,1256,10000.0,189.053,1000,0,0,0,0,0,ok,1m_after_reinsert,u1e-02,prefilter,98.0,32,100.0,10690.193675,273244,single_query_process_no_query_files,17208,5085.928,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,17456,1000000,2.364188,422.978256,2364.006713,2202.859,3635.091,4696.942,100.0,17456,15800,17448,17448,1648,50000.0,258.46,1000,0,0,0,0,0,ok,1m_after_reinsert,u5e-02,prefilter,98.0,32,100.0,12743.265387,273416,single_query_process_no_query_files,17456,14825.039,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,17924,1000000,3.58043,279.296082,3580.219432,3182.956,5426.934,7480.078,100.0,17924,15956,17916,17916,1960,100000.0,323.199,1000,0,0,0,0,0,ok,1m_after_reinsert,u1e-01,prefilter,98.0,32,100.0,12787.751339,273756,single_query_process_no_query_files,17924,23191.449,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,18884,1000000,7.496125,133.402249,7495.892471,7214.758,8557.54,12352.724,100.0,18884,15836,18876,18876,3040,250000.0,597.308,1000,0,0,0,0,0,ok,1m_after_reinsert,u25,prefilter,98.0,32,100.0,15087.26701,273260,single_query_process_no_query_files,18884,49930.589,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,19564,1000000,8.02551,124.602677,8025.332084,7981.551,8184.052,8731.72,99.75,19564,16032,19556,19556,3524,300000.0,493.742,1000,0,0,0,0,0,ok,1m_after_reinsert,u30,prefilter,98.0,32,99.75,17489.464792,273348,single_query_process_no_query_files,19564,55471.187,0.0
measure-dynamic-search,graph,1,1,1000000,100,21836,1000000,8.721988,114.652759,8721.588339,8701.11,9151.838,9505.527,98.34,21836,15940,17444,21836,5896,500000.0,37.74,0,0,1000,0,0,0,ok,1m_after_reinsert,u50,graph,98.0,32,98.34,14812.013744,273396,single_query_process_no_query_files,21836,24880.866,0.0
measure-dynamic-search,graph,1,1,1000000,75,22792,1000000,9.343336,107.028148,9342.784789,8998.623,12999.06,15357.729,98.47,22792,15988,17504,22536,6548,750000.0,41.522,0,0,1000,0,0,0,ok,1m_after_reinsert,u75,graph,98.0,32,98.47,16209.280149,275356,single_query_process_no_query_files,22792,20603.351,0.0
measure-dynamic-search,graph,1,1,1000000,75,21848,1000000,7.369489,135.694626,7369.041877,7029.245,9240.95,10356.177,98.66,21848,16024,17520,21848,5824,1000000.0,36.57,0,0,1000,0,0,0,ok,1m_after_reinsert,u100,graph,98.0,32,98.66,22479.803038,273432,single_query_process_no_query_files,21848,21098.876,0.0
