mode,route,threads,insert_threads,points,chosen_L,max_rss_kb,live_point_count,elapsed_s,qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,recall@10,process_max_rss_kb,rss_before_query_kb,rss_after_query_kb,query_peak_rss_kb,query_peak_delta_kb,mean_candidate_count,mean_route_overhead_us,prefilter_count,graph_count,fallback_count,empty_count,min_threshold,max_threshold,status,state,bucket,selected_route,query_threads,inserted_during_search,start_points,total_points,target_recall@10,calibration_recall@10,calibration_avg_latency_us,exp3_pq_bytes
search-during-insert,prefilter,1,2,750003,10,399480,750003,0.233227,4287.661196,233.141019,209.247,232.914,271.327,99.96,,,,,,,,,,,,,,ok,during_insert_from_750k,u3e-03,prefilter,1,3,750000,1000000,98.0,99.96,2500.750201,16
search-during-insert,prefilter,1,2,750033,10,399744,750033,0.389169,2569.577352,389.050996,365.256,442.126,654.121,99.99,,,,,,,,,,,,,,ok,during_insert_from_750k,u1e-02,prefilter,1,33,750000,1000000,98.0,99.99,2943.659709,16
search-during-insert,prefilter,1,2,750185,10,399312,750185,1.186436,842.860497,1186.179957,1119.965,1768.632,2611.864,99.87,,,,,,,,,,,,,,ok,during_insert_from_750k,u5e-02,prefilter,1,185,750000,1000000,98.0,99.87,3765.617402,16
search-during-insert,prefilter,1,2,750251,10,399504,750251,1.885564,530.345227,1885.296299,1789.832,2651.05,3476.851,99.76,,,,,,,,,,,,,,ok,during_insert_from_750k,u1e-01,prefilter,1,251,750000,1000000,98.0,99.76,3975.375241,16
search-during-insert,prefilter,1,2,750657,10,400408,750657,4.203324,237.906975,4202.986686,3973.16,6017.383,7258.182,99.8,,,,,,,,,,,,,,ok,during_insert_from_750k,u25,prefilter,1,657,750000,1000000,98.0,99.8,6728.900655,16
search-during-insert,prefilter,1,2,750869,10,400644,750869,4.594333,217.659435,4594.065217,4497.269,5732.854,7006.275,99.76,,,,,,,,,,,,,,ok,during_insert_from_750k,u30,prefilter,1,869,750000,1000000,98.0,99.76,6755.437981,16
search-during-insert,graph,1,2,751470,300,407532,751470,6.71416,148.938957,6713.967913,6647.231,6963.703,7199.347,98.86,,,,,,,,,,,,,,ok,during_insert_from_750k,u50,graph,1,1470,750000,1000000,98.0,98.86,20766.264284,16
search-during-insert,graph,1,2,750963,200,402560,750963,4.470055,223.71091,4469.879638,4443.645,4748.42,5125.545,98.62,,,,,,,,,,,,,,ok,during_insert_from_750k,u75,graph,1,963,750000,1000000,98.0,98.62,13487.226268,16
search-during-insert,graph,1,2,750628,125,402568,750628,3.052619,327.587522,3052.412179,3011.534,3342.447,3713.858,98.23,,,,,,,,,,,,,,ok,during_insert_from_750k,u100,graph,1,628,750000,1000000,98.0,98.21,9256.567406,16
search-during-insert,prefilter,1,1,750000,10,379092,750000,0.167568,5967.731414,167.499987,166.915,176.468,184.272,100.0,,,,,,,,,,,,,,ok,during_insert_from_750k,u1e-03,prefilter,1,0,750000,1000000,98.0,100.0,2301.964625,16
search-during-insert,prefilter,1,1,750001,10,397456,750001,0.234037,4272.825698,233.964278,220.297,232.324,242.486,99.96,,,,,,,,,,,,,,ok,during_insert_from_750k,u3e-03,prefilter,1,1,750000,1000000,98.0,99.96,2500.750201,16
search-during-insert,prefilter,1,1,750013,10,397680,750013,0.40871,2446.722705,408.615282,386.966,446.383,529.485,99.97,,,,,,,,,,,,,,ok,during_insert_from_750k,u1e-02,prefilter,1,13,750000,1000000,98.0,99.99,2943.659709,16
search-during-insert,prefilter,1,1,750054,10,398556,750054,1.060789,942.694781,1060.571844,1049.239,1304.616,1552.707,99.87,,,,,,,,,,,,,,ok,during_insert_from_750k,u5e-02,prefilter,1,54,750000,1000000,98.0,99.87,3765.617402,16
search-during-insert,prefilter,1,1,750163,10,397820,750163,1.763528,567.045261,1763.292177,1749.542,2161.64,2856.802,99.76,,,,,,,,,,,,,,ok,during_insert_from_750k,u1e-01,prefilter,1,163,750000,1000000,98.0,99.76,3975.375241,16
search-during-insert,prefilter,1,1,750344,10,399436,750344,3.577515,279.523634,3577.268381,3432.782,4409.406,5131.908,99.8,,,,,,,,,,,,,,ok,during_insert_from_750k,u25,prefilter,1,344,750000,1000000,98.0,99.8,6728.900655,16
search-during-insert,prefilter,1,1,750345,10,401628,750345,4.313709,231.819059,4313.442347,4162.403,5389.606,6424.779,99.76,,,,,,,,,,,,,,ok,during_insert_from_750k,u30,prefilter,1,345,750000,1000000,98.0,99.76,6755.437981,16
search-during-insert,prefilter,1,1,750652,10,400352,750652,6.249965,160.000894,6249.729175,6057.813,7841.13,8076.865,99.28,,,,,,,,,,,,,,ok,during_insert_from_750k,u50,prefilter,1,652,750000,1000000,98.0,99.28,9308.089903,16
search-during-insert,graph,1,1,750326,200,400480,750326,4.178895,239.297694,4178.726756,4116.236,4346.467,4488.932,98.62,,,,,,,,,,,,,,ok,during_insert_from_750k,u75,graph,1,326,750000,1000000,98.0,98.62,13487.226268,16
search-during-insert,graph,1,1,750309,125,400624,750309,2.911594,343.454518,2911.386163,2884.627,3123.799,3310.996,98.22,,,,,,,,,,,,,,ok,during_insert_from_750k,u100,graph,1,309,750000,1000000,98.0,98.21,9256.567406,16
