format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,L,hybrid_enabled,qps,avg_latency_us,p99_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,recall,recall@10,chosen_L,status,points,bucket,baseline_pq_bytes,target_recall@10,latency_cutoff_ms,calibration_recall@10,calibration_avg_latency_us
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r96_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r96_suite/labels/query_1000_u1e-03.spmat,1000,1,4,0,prefilter,10,False,2438.967285,353.020996,1353.0,0.0,96.0,1000.0,15.365,0,1000,0,0,10,100.0,100.0,10,ok,1000000,u1e-03,32,98.0,100.0,100.0,341.903992
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r96_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r96_suite/labels/query_1000_u3e-03.spmat,1000,1,4,0,prefilter,10,False,2089.375977,419.937988,1587.0,0.0,96.0,3000.0,16.777,0,1000,0,0,10,100.0,100.0,10,ok,1000000,u3e-03,32,98.0,100.0,100.0,446.095001
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r96_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r96_suite/labels/query_1000_u1e-02.spmat,1000,1,4,0,prefilter,10,False,1288.193359,708.835999,2607.0,0.0,128.0,10000.0,17.743,0,1000,0,0,10,100.0,100.0,10,ok,1000000,u1e-02,32,98.0,100.0,100.0,709.077026
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r96_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r96_suite/labels/query_1000_u5e-02.spmat,1000,1,4,0,prefilter,10,False,541.481018,1739.793945,4836.0,0.0,160.0,50000.0,18.213,0,1000,0,0,10,100.0,100.0,10,ok,1000000,u5e-02,32,98.0,100.0,100.0,1735.541016
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r96_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r96_suite/labels/query_1000_u5e-02.spmat,1000,1,4,0,graph,800,False,14.970604,65862.953125,70935.0,0.0,804.846008,50000.0,64.646,0,0,1000,0,10,99.040001,99.040001,800,ok,1000000,u5e-02,32,98.0,100.0,99.040001,65898.570312
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r96_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r96_suite/labels/query_1000_u1e-01.spmat,1000,1,4,0,prefilter,10,False,333.67453,2843.654053,9137.0,0.0,160.0,100000.0,17.415,0,1000,0,0,10,100.0,100.0,10,ok,1000000,u1e-01,32,98.0,100.0,100.0,2838.48291
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r96_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r96_suite/labels/query_1000_u1e-01.spmat,1000,1,4,0,graph,400,False,29.803093,32968.882812,38596.0,0.0,405.259003,100000.0,65.021,0,0,1000,0,10,99.029999,99.029999,400,ok,1000000,u1e-01,32,98.0,100.0,99.029999,32994.980469
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r96_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r96_suite/labels/query_1000_u25.spmat,1000,1,4,0,prefilter,10,False,157.179428,6026.539062,12981.0,0.0,192.0,250000.0,19.54,0,1000,0,0,10,100.0,100.0,10,ok,1000000,u25,32,98.0,100.0,100.0,5921.204102
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r96_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r96_suite/labels/query_1000_u25.spmat,1000,1,4,0,graph,150,False,77.31076,12665.648438,17771.0,0.0,155.806,250000.0,59.485,0,0,1000,0,10,98.300003,98.300003,150,ok,1000000,u25,32,98.0,100.0,98.300003,12673.717773
pipeann.hybrid.search.v1,/mnt/data/lzg/PipeANN/experiments/r96_suite/exp_baseline/tmp/direct_1m,intersect,/mnt/data/lzg/PipeANN/experiments/r96_suite/labels/query_1000_u30.spmat,1000,1,4,0,prefilter,10,False,141.033707,6714.36084,15092.0,0.0,192.0,300000.0,17.825,0,1000,0,0,10,99.769997,99.769997,10,ok,1000000,u30,32,98.0,100.0,99.769997,6826.324219
