L,avg_latency_us,beamwidth,bucket,calibration_avg_latency_us,calibration_recall@10,chosen_L,empty_count,exp4_pq_bytes,fallback_count,format,graph_count,hybrid_enabled,index_prefix,max_rss_kb,max_tau_m,max_threshold_version,mean_candidate_count,mean_hops,mean_ios,mean_route_overhead_us,mem_L,min_tau_m,min_threshold_version,p50_latency_us,p90_latency_us,p95_latency_us,p999_latency_us,p99_latency_us,prefilter_count,process_max_rss_kb,qps,query_count,query_label_file,recall,recall_at,resolved_route,route,selected_route,selector_type,state,status,target_recall@10,tau_m,threads,threshold_version
10,102.390999,4,u1e-03,102.390999,100.0,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/deleted_750k,27712,0,1,1000.0,0.0,96.0,4.097,0,0,1,101.0,104.0,105.0,306.0,148.0,1000,27712,9253.558594,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,100.0,10,prefilter,prefilter,prefilter,intersect,750k_after_delete,ok,98.0,0,1,1
10,156.311005,4,u3e-03,156.311005,99.959999,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/deleted_750k,27860,0,1,3000.0,0.0,96.0,8.393,0,0,1,155.0,159.0,164.0,336.0,202.0,1000,27860,5979.760742,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,99.959999,10,prefilter,prefilter,prefilter,intersect,750k_after_delete,ok,98.0,0,1,1
10,337.01001,4,u1e-02,337.01001,99.919998,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/deleted_750k,27776,0,1,10000.0,0.0,128.0,26.143,0,0,1,334.0,345.0,347.0,685.0,373.0,1000,27776,2738.772461,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-02.spmat,99.919998,10,prefilter,prefilter,prefilter,intersect,750k_after_delete,ok,98.0,0,1,1
10,1107.098022,4,u5e-02,1107.098022,99.870003,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/deleted_750k,28540,0,1,50000.0,0.0,160.0,16.175,0,0,1,1073.0,1301.0,1317.0,1898.0,1331.0,1000,28540,816.237244,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u5e-02.spmat,99.870003,10,prefilter,prefilter,prefilter,intersect,750k_after_delete,ok,98.0,0,1,1
10,1837.061035,4,u1e-01,1837.061035,99.809998,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/deleted_750k,29408,0,1,100000.0,0.0,192.0,15.932,0,0,1,1925.0,2159.0,2173.0,2855.0,2189.0,1000,29408,498.163605,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-01.spmat,99.809998,10,prefilter,prefilter,prefilter,intersect,750k_after_delete,ok,98.0,0,1,1
10,3551.387939,4,u25,3551.387939,99.669998,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/deleted_750k,30092,0,1,250000.0,0.0,192.0,15.744,0,0,1,3149.0,4460.0,4572.0,5239.0,4709.0,1000,30092,256.817108,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u25.spmat,99.669998,10,prefilter,prefilter,prefilter,intersect,750k_after_delete,ok,98.0,0,1,1
10,4135.03418,4,u30,4135.03418,99.349998,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/deleted_750k,30356,0,1,300000.0,0.0,192.0,14.486,0,0,1,3707.0,5130.0,5339.0,6383.0,5376.0,1000,30356,221.126816,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u30.spmat,99.349998,10,prefilter,prefilter,prefilter,intersect,750k_after_delete,ok,98.0,0,1,1
200,5086.65918,4,u50,5086.65918,98.120003,200,0,16,0,pipeann.hybrid.search.v1,1000,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/deleted_750k,29184,0,1,500000.0,0.0,210.886993,12.789,0,0,1,5069.0,5241.0,5315.0,5880.0,5491.0,0,29184,193.240952,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u50.spmat,98.120003,10,graph,graph,graph,intersect,750k_after_delete,ok,98.0,0,1,1
150,3933.115967,4,u75,3933.115967,98.120003,150,0,16,0,pipeann.hybrid.search.v1,1000,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/deleted_750k,29224,0,1,750000.0,0.0,161.391006,12.821,0,0,1,3916.0,4083.0,4148.0,4651.0,4313.0,0,29224,249.335861,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat,98.120003,10,graph,graph,graph,intersect,750k_after_delete,ok,98.0,0,1,1
150,3933.375,4,u100,3933.375,98.120003,150,0,16,0,pipeann.hybrid.search.v1,1000,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/deleted_750k,29024,0,1,750000.0,0.0,161.391006,12.821,0,0,1,3918.0,4082.0,4145.0,4894.0,4306.0,0,29024,249.319778,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u100.spmat,98.120003,10,graph,graph,graph,intersect,750k_after_delete,ok,98.0,0,1,1
10,213.429993,4,u1e-03,213.429993,99.989998,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/reinserted_1m,32820,0,1,1000.0,0.0,96.0,3.283,0,0,1,116.0,181.0,265.0,13728.0,3404.0,1000,32820,4557.800293,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-03.spmat,99.989998,10,prefilter,prefilter,prefilter,intersect,1m_after_reinsert,ok,98.0,0,1,1
10,347.453003,4,u3e-03,347.453003,99.959999,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/reinserted_1m,32716,0,1,3000.0,0.0,96.0,5.355,0,0,1,167.0,571.0,1233.0,9050.0,4213.0,1000,32716,2821.857666,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,99.959999,10,prefilter,prefilter,prefilter,intersect,1m_after_reinsert,ok,98.0,0,1,1
10,988.302979,4,u1e-02,988.302979,99.919998,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/reinserted_1m,32720,0,1,10000.0,0.0,128.0,13.597,0,0,1,465.0,2249.0,3947.0,11517.0,7785.0,1000,32720,998.424377,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-02.spmat,99.919998,10,prefilter,prefilter,prefilter,intersect,1m_after_reinsert,ok,98.0,0,1,1
10,3670.135986,4,u5e-02,3670.135986,99.870003,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/reinserted_1m,33300,0,1,50000.0,0.0,160.0,17.616,0,0,1,2651.0,7907.0,10040.0,17177.0,12262.0,1000,33300,256.3172,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u5e-02.spmat,99.870003,10,prefilter,prefilter,prefilter,intersect,1m_after_reinsert,ok,98.0,0,1,1
10,5030.036133,4,u1e-01,5030.036133,99.709999,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/reinserted_1m,34180,0,1,100000.0,0.0,160.0,18.27,0,0,1,4021.0,9593.0,11100.0,18446.0,13345.0,1000,34180,188.472626,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-01.spmat,99.709999,10,prefilter,prefilter,prefilter,intersect,1m_after_reinsert,ok,98.0,0,1,1
400,9957.227539,4,u25,9957.227539,98.160004,400,0,16,0,pipeann.hybrid.search.v1,1000,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/reinserted_1m,35112,0,1,250000.0,0.0,410.200012,17.821,0,0,1,9951.0,10183.0,10273.0,11186.0,10470.0,0,35112,98.912888,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u25.spmat,98.160004,10,graph,graph,graph,intersect,1m_after_reinsert,ok,98.0,0,1,1
10,5873.846191,4,u30,5873.846191,99.349998,10,0,16,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/reinserted_1m,35460,0,1,300000.0,0.0,192.0,31.172,0,0,1,5667.0,7643.0,8268.0,13378.0,9949.0,1000,35460,156.214203,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u30.spmat,99.349998,10,prefilter,prefilter,prefilter,intersect,1m_after_reinsert,ok,98.0,0,1,1
300,7587.210938,4,u50,7587.210938,98.519997,300,0,16,0,pipeann.hybrid.search.v1,1000,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/reinserted_1m,35104,0,1,500000.0,0.0,310.553009,17.672,0,0,1,7574.0,7781.0,7853.0,8452.0,8062.0,0,35104,129.517899,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u50.spmat,98.519997,10,graph,graph,graph,intersect,1m_after_reinsert,ok,98.0,0,1,1
200,5211.682129,4,u75,5211.682129,98.260002,200,0,16,0,pipeann.hybrid.search.v1,1000,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/reinserted_1m,34132,0,1,750000.0,0.0,211.227997,17.548,0,0,1,5205.0,5386.0,5454.0,5855.0,5604.0,0,34132,188.508759,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u75.spmat,98.260002,10,graph,graph,graph,intersect,1m_after_reinsert,ok,98.0,0,1,1
200,5206.637207,4,u100,5206.637207,98.760002,200,0,16,0,pipeann.hybrid.search.v1,1000,True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_delete_reinsert_selectivity/tmp/reinserted_1m,34072,0,1,1000000.0,0.0,211.233002,16.969,0,0,1,5201.0,5379.0,5448.0,5813.0,5602.0,0,34072,188.679688,1000,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u100.spmat,98.760002,10,graph,graph,graph,intersect,1m_after_reinsert,ok,98.0,0,1,1
