format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,resolved_route,L,hybrid_enabled,tau_m,threshold_version,min_tau_m,max_tau_m,min_threshold_version,max_threshold_version,qps,avg_latency_us,p50_latency_us,p90_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,process_max_rss_kb,max_rss_kb,recall,recall@10,chosen_L,status,state,bucket,filter_type,points,selected_route,target_recall@10,exp4_pq_bytes,calibration_recall@10,calibration_avg_latency_us,search_max_rss_kb,rss_before_query_kb,rss_after_query_kb,query_peak_rss_kb,query_peak_delta_kb,rss_mode,rss_single_query_kb,rss_single_query_avg_latency_us,rss_single_query_recall@10
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u1e-03.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,7197.384277,89.204002,86.0,92.0,105.0,164.0,309.0,0.0,96.0,1000.0,7.3,0,1000,0,0,10,12500,12500,100.0,100.0,10,ok,1m_direct,u1e-03,range,1000000,prefilter,98.0,16,100.0,114.616997,28872,,,,,single_query_process_no_query_files,12500,910.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u3e-03.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,5332.280273,131.570999,129.0,134.0,162.0,248.0,418.0,0.0,96.0,3000.0,12.418,0,1000,0,0,10,12488,12488,99.93,99.93,10,ok,1m_direct,u3e-03,range,1000000,prefilter,98.0,16,99.93,175.720001,28964,,,,,single_query_process_no_query_files,12488,431.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u1e-02.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,2166.69458,357.740997,356.0,366.0,369.0,395.0,642.0,0.0,128.0,10000.0,39.079,0,1000,0,0,10,12744,12744,99.93,99.93,10,ok,1m_direct,u1e-02,range,1000000,prefilter,98.0,16,99.93,272.496002,28996,,,,,single_query_process_no_query_files,12744,4755.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u5e-02.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,722.704285,1209.324951,1173.0,1407.0,1420.0,1436.0,1560.0,0.0,160.0,50000.0,59.648,0,1000,0,0,10,13076,13076,99.760002,99.760002,10,ok,1m_direct,u5e-02,range,1000000,prefilter,98.0,16,99.760002,1185.687988,29616,,,,,single_query_process_no_query_files,13076,13964.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u1e-01.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,566.742004,1579.88501,1546.0,1768.0,1775.0,1787.0,1836.0,0.0,160.0,100000.0,50.434,0,1000,0,0,10,13552,13552,99.639999,99.639999,10,ok,1m_direct,u1e-01,range,1000000,prefilter,98.0,16,99.639999,1878.907959,32388,,,,,single_query_process_no_query_files,13552,9018.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u25.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,277.849457,3243.851074,3195.0,3421.0,3432.0,3483.0,3649.0,0.0,192.0,250000.0,60.436,0,1000,0,0,10,15152,15152,99.57,99.57,10,ok,1m_direct,u25,range,1000000,prefilter,98.0,16,99.57,3627.169922,31480,,,,,single_query_process_no_query_files,15152,22423.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u30.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,237.736053,3786.798096,3757.0,3965.0,3978.0,3990.0,4146.0,0.0,192.0,300000.0,70.164,0,1000,0,0,10,15388,15388,99.389999,99.389999,10,ok,1m_direct,u30,range,1000000,prefilter,98.0,16,99.389999,4185.51123,31812,,,,,single_query_process_no_query_files,15388,28117.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u50.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,150.75032,5996.76123,5949.0,6004.0,6222.0,7049.0,7082.0,0.0,192.0,500000.0,81.077,0,1000,0,0,10,17044,17044,99.470001,99.470001,10,ok,1m_direct,u50,range,1000000,prefilter,98.0,16,99.470001,6362.431152,33636,,,,,single_query_process_no_query_files,17044,49031.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u75.spmat,1000,1,4,0,graph,graph,200,True,0,1,0,0,1,1,233.901352,4166.536133,4159.0,4258.0,4289.0,4378.0,4862.0,0.0,212.054001,750000.0,90.591,0,0,1000,0,10,18472,18472,98.709999,98.709999,200,ok,1m_direct,u75,range,1000000,graph,98.0,16,98.709999,4174.004883,30784,,,,,single_query_process_no_query_files,18472,24128.0,
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp4_intersect_range_selectivity/tmp/direct_1m,range,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_range_u100.spmat,1000,1,4,0,graph,graph,150,True,0,1,0,0,1,1,299.068665,3246.001953,3237.0,3328.0,3357.0,3448.0,4202.0,0.0,162.529999,1000000.0,101.033,0,0,1000,0,10,18412,18412,98.550003,98.550003,150,ok,1m_direct,u100,range,1000000,graph,98.0,16,98.550003,3246.798096,30900,,,,,single_query_process_no_query_files,18412,19369.0,
