status,path,start_points,points,chosen_L,mode,route,threads,insert_threads,max_rss_kb,live_point_count,elapsed_s,qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,recall@10,process_max_rss_kb,rss_before_query_kb,rss_after_query_kb,query_peak_rss_kb,query_peak_delta_kb,mean_candidate_count,mean_route_overhead_us,prefilter_count,graph_count,fallback_count,empty_count,min_threshold,max_threshold
ok,direct_seed_250k,250000,250000,100,measure-dynamic-search,auto,1,1,155956,250000,47.96191,208.498785,4796.015392,3510.743,12149.781,15556.21,98.383,155956,81588,82708,82708,1120,0.0,0.0,0,0,0,0,0,0
ok,direct_seed_250k,250000,500000,100,measure-dynamic-search,auto,1,1,155956,500000,53.75843,186.017337,5375.667254,3504.645,13268.636,15797.385,97.541,155956,136440,137052,137052,612,0.0,0.0,0,0,0,0,0,0
ok,direct_seed_250k,250000,750000,100,measure-dynamic-search,auto,1,1,202748,750000,55.565812,179.966774,5556.391438,3524.171,12927.067,15105.707,96.962,202748,202332,202744,202744,412,0.0,0.0,0,0,0,0,0,0
ok,direct_seed_250k,250000,1000000,100,measure-dynamic-search,auto,1,1,244856,1000000,59.082308,169.255404,5907.967058,3520.887,22637.257,25706.766,96.573,244856,244248,244852,244852,604,0.0,0.0,0,0,0,0,0,0
ok,direct_seed_500k,500000,500000,100,measure-dynamic-search,auto,1,1,155956,500000,52.787678,189.438148,5278.544121,3537.699,10065.822,17925.846,97.669,155956,138584,139188,139188,604,0.0,0.0,0,0,0,0,0,0
ok,direct_seed_500k,500000,750000,100,measure-dynamic-search,auto,1,1,207172,750000,37.963163,263.413245,3796.127713,3443.471,3864.156,11481.707,97.159,207172,206552,207168,207168,616,0.0,0.0,0,0,0,0,0,0
ok,direct_seed_500k,500000,1000000,100,measure-dynamic-search,auto,1,1,248928,1000000,62.902929,158.975109,6290.048315,3588.559,21137.337,25414.194,96.761,248928,248324,248928,248928,604,0.0,0.0,0,0,0,0,0,0
