status,path,points,chosen_L,l_choice,mode,route,threads,insert_threads,max_rss_kb,live_point_count,elapsed_s,qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,recall@10,process_max_rss_kb,rss_before_query_kb,rss_after_query_kb,query_peak_rss_kb,query_peak_delta_kb,mean_candidate_count,mean_route_overhead_us,prefilter_count,graph_count,fallback_count,empty_count,min_threshold,max_threshold
ok,direct_build,250000,100,fixed_L_100,measure-dynamic-search,auto,1,1,149216,250000,53.111653,188.282597,5310.939637,3429.028,16977.69,19697.663,98.471,149216,81536,82792,82792,1256,0.0,0.0,0,0,0,0,0,0
ok,incremental_insert,250000,100,fixed_L_100,measure-dynamic-search,auto,1,1,149216,250000,34.843747,286.995544,3484.179058,3443.739,3884.055,4849.424,97.337,149216,81536,82956,82956,1420,0.0,0.0,0,0,0,0,0,0
ok,direct_build,500000,100,fixed_L_100,measure-dynamic-search,auto,1,1,149216,500000,55.431857,180.401679,5542.981922,3502.127,15445.221,18317.567,97.699,149216,138540,139320,139320,780,0.0,0.0,0,0,0,0,0,0
ok,incremental_insert,500000,100,fixed_L_100,measure-dynamic-search,auto,1,1,149216,500000,34.773039,287.579123,3477.114305,3443.724,3897.669,4342.823,96.221,149216,136544,137200,137200,656,0.0,0.0,0,0,0,0,0,0
ok,direct_build,750000,100,fixed_L_100,measure-dynamic-search,auto,1,1,210292,750000,60.261201,165.944254,6025.905496,3444.047,18948.986,22173.594,97.328,210292,209836,210292,210292,456,0.0,0.0,0,0,0,0,0,0
ok,incremental_insert,750000,100,fixed_L_100,measure-dynamic-search,auto,1,1,202984,750000,34.437914,290.377637,3443.598162,3424.63,3798.064,4025.142,95.667,202984,202616,202984,202984,368,0.0,0.0,0,0,0,0,0,0
ok,direct_build,1000000,100,fixed_L_100,measure-dynamic-search,auto,1,1,253164,1000000,59.164828,169.019337,5916.218627,3589.007,13595.474,20964.683,97.065,253164,252592,253164,253164,572,0.0,0.0,0,0,0,0,0,0
ok,incremental_insert,1000000,100,fixed_L_100,measure-dynamic-search,auto,1,1,244832,1000000,60.316711,165.791533,6031.483365,3632.741,14442.622,21007.604,95.093,244832,244060,244832,244832,772,0.0,0.0,0,0,0,0,0,0
