mode,route,threads,insert_threads,points,chosen_L,max_rss_kb,live_point_count,elapsed_s,qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,recall@10,process_max_rss_kb,rss_before_query_kb,rss_after_query_kb,query_peak_rss_kb,query_peak_delta_kb,mean_candidate_count,mean_route_overhead_us,prefilter_count,graph_count,fallback_count,empty_count,min_threshold,max_threshold,status,state,bucket,selected_route,query_threads,inserted_during_search,start_points,total_points,target_recall@10,calibration_recall@10,calibration_avg_latency_us,exp3_pq_bytes
measure-dynamic-search,prefilter,1,0,1000000,10,269124,1000000,0.417748,2393.787516,417.665562,406.076,440.313,740.719,100.0,269124,268540,269124,269124,584,1000.0,52.244,1000,0,0,0,0,0,ok,1m_initial,u1e-03,prefilter,1,0,1000000,1000000,98.0,100.0,7116.184049,32
measure-dynamic-search,prefilter,1,0,1000000,10,268984,1000000,0.491907,2032.903474,491.813115,479.951,552.667,778.201,100.0,268984,268464,268984,268984,520,3000.0,55.241,1000,0,0,0,0,0,ok,1m_initial,u3e-03,prefilter,1,0,1000000,1000000,98.0,100.0,7220.279703,32
measure-dynamic-search,prefilter,1,0,1000000,10,269084,1000000,0.825602,1211.236983,825.492233,770.446,1091.345,2342.199,100.0,269084,268552,269084,269084,532,10000.0,66.514,1000,0,0,0,0,0,ok,1m_initial,u1e-02,prefilter,1,0,1000000,1000000,98.0,100.0,9427.862281,32
measure-dynamic-search,prefilter,1,0,1000000,10,269436,1000000,1.903814,525.26132,1903.67298,1718.263,2785.099,4118.945,100.0,269436,268492,269436,269436,944,50000.0,106.97,1000,0,0,0,0,0,ok,1m_initial,u5e-02,prefilter,1,0,1000000,1000000,98.0,100.0,11482.680862,32
measure-dynamic-search,prefilter,1,0,1000000,10,269508,1000000,3.117119,320.809008,3116.88128,2972.187,3492.755,5942.438,100.0,269508,268704,269508,269508,804,100000.0,177.328,1000,0,0,0,0,0,ok,1m_initial,u1e-01,prefilter,1,0,1000000,1000000,98.0,100.0,11653.754314,32
measure-dynamic-search,prefilter,1,0,1000000,10,269148,1000000,6.077157,164.550626,6077.032539,6037.12,6285.379,6922.383,99.99,269148,268604,244348,269148,544,250000.0,307.547,1000,0,0,0,0,0,ok,1m_initial,u25,prefilter,1,0,1000000,1000000,98.0,99.99,13713.894627,32
measure-dynamic-search,prefilter,1,0,1000000,10,269232,1000000,7.289377,137.185941,7289.182051,7222.325,7986.942,8822.083,100.0,269232,268564,244936,269232,668,300000.0,386.736,1000,0,0,0,0,0,ok,1m_initial,u30,prefilter,1,0,1000000,1000000,98.0,100.0,13668.329371,32
measure-dynamic-search,graph,1,0,1000000,75,269396,1000000,6.695766,149.3481,6695.361067,6673.065,7034.197,7317.648,99.32,269396,268572,269396,269396,824,500000.0,34.186,0,0,1000,0,0,0,ok,1m_initial,u50,graph,1,0,1000000,1000000,98.0,99.32,17892.6039,32
measure-dynamic-search,graph,1,0,1000000,40,271452,1000000,3.831436,260.998741,3831.044238,3816.022,4072.277,4318.612,98.04,271452,270756,271452,271452,696,750000.0,29.907,0,0,1000,0,0,0,ok,1m_initial,u75,graph,1,0,1000000,1000000,98.0,98.04,9238.936963,32
measure-dynamic-search,graph,1,0,1000000,40,269332,1000000,3.845752,260.027201,3845.418852,3814.794,4112.391,4430.098,98.94,269332,268568,269332,269332,764,1000000.0,30.144,0,0,1000,0,0,0,ok,1m_initial,u100,graph,1,0,1000000,1000000,98.0,98.94,6552.850037,32
