mode,route,threads,insert_threads,points,chosen_L,max_rss_kb,live_point_count,elapsed_s,qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,recall@10,process_max_rss_kb,rss_before_query_kb,rss_after_query_kb,query_peak_rss_kb,query_peak_delta_kb,mean_candidate_count,mean_route_overhead_us,prefilter_count,graph_count,fallback_count,empty_count,min_threshold,max_threshold,status,state,bucket,fixed_L,selected_route,exp4_pq_bytes
measure-dynamic-search,graph,1,1,1000000,100,269356,1000000,8.745312,114.346975,8744.952401,8714.989,9087.315,10023.615,94.66,269356,268592,269356,269356,764,250000.0,36.314,0,0,1000,0,0,0,ok,1m_initial,u25,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,269392,1000000,8.809886,113.508845,8809.480761,8755.758,9354.307,10254.288,96.11,269392,268632,269392,269392,760,300000.0,37.069,0,0,1000,0,0,0,ok,1m_initial,u30,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,269432,1000000,8.878106,112.636636,8877.68509,8769.697,9299.062,10916.719,98.93,269432,268672,269432,269432,760,500000.0,36.835,0,0,1000,0,0,0,ok,1m_initial,u50,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,269256,1000000,8.77164,114.003762,8771.276659,8732.961,9192.945,9905.995,99.68,269256,268496,269256,269256,760,750000.0,36.996,0,0,1000,0,0,0,ok,1m_initial,u75,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,269272,1000000,8.815441,113.437319,8815.109509,8764.648,9331.929,10179.439,99.78,269272,268512,269272,269272,760,1000000.0,36.809,0,0,1000,0,0,0,ok,1m_initial,u100,100,graph,32
measure-dynamic-search,graph,1,1,750000,100,227632,750000,8.758847,114.170282,8758.415762,8700.407,9243.588,10565.596,96.33,227632,227152,227632,227632,480,250000.0,28.542,0,0,1000,0,0,0,ok,750k_after_delete,u25,100,graph,32
measure-dynamic-search,graph,1,1,750000,100,227704,750000,8.656476,115.520451,8656.097956,8627.062,9030.255,9600.751,97.09,227704,227228,227704,227704,476,300000.0,27.468,0,0,1000,0,0,0,ok,750k_after_delete,u30,100,graph,32
measure-dynamic-search,graph,1,1,750000,100,227432,750000,8.761448,114.136387,8760.97572,8696.906,9249.741,10108.53,98.6,227432,227016,227432,227432,416,500000.0,29.846,0,0,1000,0,0,0,ok,750k_after_delete,u50,100,graph,32
measure-dynamic-search,graph,1,1,750000,100,229564,750000,8.704215,114.886866,8703.783289,8646.08,9210.955,10353.87,98.87,229564,229216,229564,229564,348,750000.0,27.466,0,0,1000,0,0,0,ok,750k_after_delete,u75,100,graph,32
measure-dynamic-search,graph,1,1,750000,100,227624,750000,8.65575,115.530143,8655.340608,8627.684,9046.267,9502.761,98.87,227624,227148,227624,227624,476,750000.0,29.854,0,0,1000,0,0,0,ok,750k_after_delete,u100,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,273224,1000000,8.824038,113.326806,8823.561853,8760.076,9375.474,10379.357,93.55,273224,272456,273224,273224,768,250000.0,37.887,0,0,1000,0,0,0,ok,1m_after_reinsert,u25,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,273104,1000000,8.832914,113.212915,8832.472876,8770.765,9341.77,10450.466,94.98,273104,272400,273104,273104,704,300000.0,37.684,0,0,1000,0,0,0,ok,1m_after_reinsert,u30,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,273284,1000000,8.761996,114.12925,8761.536546,8705.523,9151.485,10345.543,97.76,273284,272456,273284,273284,828,500000.0,36.815,0,0,1000,0,0,0,ok,1m_after_reinsert,u50,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,273232,1000000,8.738616,114.434593,8738.161302,8705.096,9158.373,9994.948,98.61,273232,272460,273232,273232,772,750000.0,37.495,0,0,1000,0,0,0,ok,1m_after_reinsert,u75,100,graph,32
measure-dynamic-search,graph,1,1,1000000,100,273096,1000000,8.819017,113.391317,8818.606766,8767.106,9230.627,11096.483,98.74,273096,272392,273096,273096,704,1000000.0,37.394,0,0,1000,0,0,0,ok,1m_after_reinsert,u100,100,graph,32
