mode,route,threads,insert_threads,points,chosen_L,max_rss_kb,live_point_count,elapsed_s,qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,recall@10,process_max_rss_kb,rss_before_query_kb,rss_after_query_kb,query_peak_rss_kb,query_peak_delta_kb,mean_candidate_count,mean_route_overhead_us,prefilter_count,graph_count,fallback_count,empty_count,min_threshold,max_threshold,status,state,bucket,selected_route,target_recall@10,exp4_pq_bytes,calibration_recall@10,calibration_avg_latency_us,search_max_rss_kb,rss_mode,rss_single_query_kb,rss_single_query_avg_latency_us,rss_single_query_recall@10
measure-dynamic-search,prefilter,1,1,1000000,10,12936,1000000,0.466255,2144.748336,466.148859,394.886,884.572,1550.945,100.0,12936,11844,12928,12928,1084,1000.0,63.12,1000,0,0,0,0,0,ok,1m_initial,u1e-03,prefilter,98.0,32,100.0,5971.992337,268876,single_query_process_no_query_files,12936,1085.494,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,13008,1000000,0.516194,1937.254992,516.068683,462.728,783.423,1475.416,100.0,13008,12244,12952,12952,708,3000.0,59.884,1000,0,0,0,0,0,ok,1m_initial,u3e-03,prefilter,98.0,32,100.0,6973.604527,269020,single_query_process_no_query_files,13008,1267.95,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,13064,1000000,0.798857,1251.789245,798.739331,742.733,1026.752,2371.956,100.0,13064,11880,13056,13056,1176,10000.0,66.955,1000,0,0,0,0,0,ok,1m_initial,u1e-02,prefilter,98.0,32,100.0,9365.50407,269068,single_query_process_no_query_files,13064,3279.434,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,13684,1000000,2.195937,455.38641,2195.683473,2035.494,3092.981,4806.392,100.0,13684,12408,13676,13676,1268,50000.0,124.465,1000,0,0,0,0,0,ok,1m_initial,u5e-02,prefilter,98.0,32,100.0,11437.618175,269280,single_query_process_no_query_files,13684,9219.429,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,13736,1000000,3.098443,322.742766,3098.189944,2930.082,4542.296,6922.057,100.0,13736,12276,13728,13728,1452,100000.0,172.233,1000,0,0,0,0,0,ok,1m_initial,u1e-01,prefilter,98.0,32,100.0,11096.522916,269220,single_query_process_no_query_files,13736,17071.501,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,15184,1000000,6.562038,152.391672,6561.810213,6123.087,7633.399,11761.872,99.99,15184,12404,15176,15176,2772,250000.0,373.257,1000,0,0,0,0,0,ok,1m_initial,u25,prefilter,98.0,32,99.99,14006.506279,269240,single_query_process_no_query_files,15184,35870.242,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,15328,1000000,7.056833,141.706635,7056.676415,6986.92,7522.761,8003.712,99.76,15328,12212,15320,15320,3108,300000.0,376.226,1000,0,0,0,0,0,ok,1m_initial,u30,prefilter,98.0,32,99.76,13744.837383,269092,single_query_process_no_query_files,15328,48111.152,0.0
measure-dynamic-search,graph,1,1,1000000,100,17400,1000000,8.767834,114.053251,8767.411284,8731.17,9154.696,9552.314,98.93,17400,12464,13640,17400,4936,500000.0,37.856,0,0,1000,0,0,0,ok,1m_initial,u50,graph,98.0,32,98.93,17633.736544,269104,single_query_process_no_query_files,17400,24211.372,0.0
measure-dynamic-search,graph,1,1,1000000,75,17200,1000000,6.812582,146.787218,6812.149712,6749.629,7183.157,8357.886,99.17,17200,12460,13640,17192,4732,750000.0,36.464,0,0,1000,0,0,0,ok,1m_initial,u75,graph,98.0,32,99.17,12472.185868,269336,single_query_process_no_query_files,17200,19260.69,0.0
measure-dynamic-search,graph,1,1,1000000,50,17160,1000000,4.689575,213.238931,4689.213335,4672.106,4972.512,5243.652,98.67,17160,12432,13344,17160,4728,1000000.0,32.343,0,0,1000,0,0,0,ok,1m_initial,u100,graph,98.0,32,98.67,8319.28322,269108,single_query_process_no_query_files,17160,14873.138,0.0
measure-dynamic-search,prefilter,1,1,750000,10,15944,750000,0.51235,1951.790631,512.131131,449.459,863.228,1566.009,100.0,15944,15136,15880,15880,744,1000.0,49.363,1000,0,0,0,0,0,ok,750k_after_delete,u1e-03,prefilter,98.0,32,100.0,5552.988226,227672,single_query_process_no_query_files,15944,1098.454,0.0
measure-dynamic-search,prefilter,1,1,750000,10,15916,750000,0.507824,1969.185911,507.726439,451.615,776.054,1446.598,100.0,15916,15048,15908,15908,860,3000.0,49.721,1000,0,0,0,0,0,ok,750k_after_delete,u3e-03,prefilter,98.0,32,100.0,6424.241465,227640,single_query_process_no_query_files,15916,1502.748,0.0
measure-dynamic-search,prefilter,1,1,750000,10,16008,750000,0.825625,1211.204165,825.512614,720.748,1316.811,2665.842,100.0,16008,15008,16000,16000,992,10000.0,55.264,1000,0,0,0,0,0,ok,750k_after_delete,u1e-02,prefilter,98.0,32,100.0,9310.519604,229608,single_query_process_no_query_files,16008,2688.18,0.0
measure-dynamic-search,prefilter,1,1,750000,10,16508,750000,2.187714,457.098124,2187.464186,2018.127,3715.646,4698.345,100.0,16508,15172,16500,16500,1328,50000.0,113.278,1000,0,0,0,0,0,ok,750k_after_delete,u5e-02,prefilter,98.0,32,100.0,9947.746583,227516,single_query_process_no_query_files,16508,8691.987,0.0
measure-dynamic-search,prefilter,1,1,750000,10,16916,750000,3.457767,289.203961,3457.498525,3153.277,5559.43,7348.753,100.0,16916,15192,16908,16908,1716,100000.0,173.024,1000,0,0,0,0,0,ok,750k_after_delete,u1e-01,prefilter,98.0,32,100.0,13692.094734,228044,single_query_process_no_query_files,16916,16821.206,0.0
measure-dynamic-search,prefilter,1,1,750000,10,17780,750000,6.37442,156.877013,6374.184977,6219.045,6963.662,7210.368,99.99,17780,14956,17772,17772,2816,250000.0,328.232,1000,0,0,0,0,0,ok,750k_after_delete,u25,prefilter,98.0,32,99.99,14451.627517,227672,single_query_process_no_query_files,17780,35351.311,0.0
measure-dynamic-search,prefilter,1,1,750000,10,18112,750000,7.171471,139.441408,7171.214893,6989.479,8028.953,8434.716,99.76,18112,14968,18104,18104,3136,300000.0,383.001,1000,0,0,0,0,0,ok,750k_after_delete,u30,prefilter,98.0,32,99.76,14310.965515,227728,single_query_process_no_query_files,18112,41783.81,0.0
measure-dynamic-search,graph,1,1,750000,100,19924,750000,8.766868,114.065823,8766.410554,8683.622,9142.965,9848.997,98.6,19924,15164,16364,19924,4760,500000.0,28.929,0,0,1000,0,0,0,ok,750k_after_delete,u50,graph,98.0,32,98.6,18411.4809,229752,single_query_process_no_query_files,19924,20561.211,0.0
measure-dynamic-search,graph,1,1,750000,75,19808,750000,6.712384,148.978364,6711.928333,6663.246,7092.732,7510.856,98.29,19808,15048,16044,19808,4760,750000.0,27.022,0,0,1000,0,0,0,ok,750k_after_delete,u75,graph,98.0,32,98.29,13857.39501,227576,single_query_process_no_query_files,19808,16101.205,0.0
measure-dynamic-search,graph,1,1,750000,75,19732,750000,6.668046,149.968974,6667.652269,6616.168,7066.102,8286.702,98.29,19732,14984,15852,19732,4748,750000.0,26.956,0,0,1000,0,0,0,ok,750k_after_delete,u100,graph,98.0,32,98.29,32570.482547,227400,single_query_process_no_query_files,19732,16182.811,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,17100,1000000,0.505849,1976.874272,505.719442,457.402,745.176,1450.33,99.99,17100,15964,17052,17100,1136,1000.0,63.212,1000,0,0,0,0,0,ok,1m_after_reinsert,u1e-03,prefilter,98.0,32,99.99,5727.152918,273064,single_query_process_no_query_files,17100,3414.465,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,17752,1000000,0.632214,1581.742441,632.061498,553.324,1013.031,1870.019,100.0,17752,15852,17064,17752,1900,3000.0,84.237,1000,0,0,0,0,0,ok,1m_after_reinsert,u3e-03,prefilter,98.0,32,100.0,6673.245637,273208,single_query_process_no_query_files,17752,4094.054,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,17336,1000000,1.071177,933.552681,1071.012936,975.929,1577.936,2513.851,100.0,17336,15948,17224,17272,1324,10000.0,163.473,1000,0,0,0,0,0,ok,1m_after_reinsert,u1e-02,prefilter,98.0,32,100.0,10745.735874,273520,single_query_process_no_query_files,17336,5517.589,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,17400,1000000,2.364638,422.897698,2364.484114,2187.551,3650.229,5285.436,100.0,17400,15844,17392,17392,1548,50000.0,263.418,1000,0,0,0,0,0,ok,1m_after_reinsert,u5e-02,prefilter,98.0,32,100.0,11282.659486,275596,single_query_process_no_query_files,17400,15419.96,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,17916,1000000,3.546195,281.992384,3546.031863,3385.522,4688.661,7267.393,100.0,17916,15952,17908,17908,1956,100000.0,317.865,1000,0,0,0,0,0,ok,1m_after_reinsert,u1e-01,prefilter,98.0,32,100.0,12768.033022,273552,single_query_process_no_query_files,17916,22720.269,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,19164,1000000,7.318734,136.63565,7318.522998,7161.815,7503.029,12791.967,99.99,19164,15992,19156,19156,3164,250000.0,555.133,1000,0,0,0,0,0,ok,1m_after_reinsert,u25,prefilter,98.0,32,99.99,14283.155242,273328,single_query_process_no_query_files,19164,46876.176,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,19560,1000000,8.231979,121.477477,8231.778076,8163.457,8418.86,11939.009,99.78,19560,16036,19552,19552,3516,300000.0,564.419,1000,0,0,0,0,0,ok,1m_after_reinsert,u30,prefilter,98.0,32,99.78,14408.928464,273448,single_query_process_no_query_files,19560,56211.179,0.0
measure-dynamic-search,prefilter,1,1,1000000,10,21172,1000000,12.038994,83.063416,12038.680106,11904.595,13372.858,14374.251,99.87,21172,15960,21164,21164,5204,500000.0,836.475,1000,0,0,0,0,0,ok,1m_after_reinsert,u50,prefilter,98.0,32,99.87,19608.027204,273188,single_query_process_no_query_files,21172,91783.672,0.0
measure-dynamic-search,graph,1,1,1000000,100,21008,1000000,8.794577,113.706436,8794.0881,8760.006,9252.304,9588.651,98.61,21008,15792,17256,20880,5088,750000.0,37.35,0,0,1000,0,0,0,ok,1m_after_reinsert,u75,graph,98.0,32,98.61,23409.958294,272988,single_query_process_no_query_files,21008,23631.232,0.0
measure-dynamic-search,graph,1,1,1000000,100,21408,1000000,8.730639,114.539152,8730.272988,8698.891,9129.563,9777.462,98.74,21408,15832,17272,21408,5576,1000000.0,37.648,0,0,1000,0,0,0,ok,1m_after_reinsert,u100,graph,98.0,32,98.74,27466.523174,273460,single_query_process_no_query_files,21408,24060.599,0.0
