dataset,bucket_name,selectivity,thread,route_decision,qps,query_p99_latency_us,query_p999_latency_us,cpu_pct,mean_ios,real_read_iops,real_read_mb_s,real_iops,real_mb_s,real_qd,real_read_await_ms,real_ssd_lat_status,real_ssd_lat_p50_ms,real_ssd_lat_p95_ms,real_ssd_lat_p99_ms,fio_matched_iodepth,fio_matched_achieved_qd,fio_iops,fio_mb_s,fio_bw_mb_s,iops_vs_fio_ratio,bw_vs_fio_ratio,fio_lat_mean_ms,fio_lat_p99_ms,fio_capacity_ratio,disk_metrics_status,bottleneck_conclusion
glove100,u100,1.0,4,graph,1019.175293,5497.0,7282.0,756.778405,122.206001,121846.307422,475.962138,121846.307422,475.962138,11.919883,0.097826,ok_bpftrace,0.1,0.15,0.19,8,8.0,268893.670211,1050.3696746826172,1050.3696746826172,0.45313936667377697,0.4531377375720773,0.116521904871,0.268288,0.45313936667377697,ok,cpu_or_algorithm_bound
glove100,u100,1.0,8,graph,1825.236694,6216.0,8502.0,1292.765008,121.940002,182611.101328,713.325589,182611.101328,713.325589,20.435564,0.111905,ok_bpftrace,0.1,0.19,0.24,16,16.0,513017.765482,2003.9912700653076,2003.9912700653076,0.35595473220392243,0.35595244333412374,0.246799109951,0.59392,0.35595473220392243,ok,cpu_or_algorithm_bound
yfcc10m,real_t4e-03_l600,0.0040071,1,graph,274.007141,4061.0,4714.0,201.570471,119.735397,34806.172718,255.882713,34806.172718,255.882713,3.612633,0.103788,ok_bpftrace,0.1,0.14,0.17,4,4.0,38894.40352,303.86356830596924,303.86356830596924,0.8948889703399674,0.8420973742477219,0.099865975435,0.156672,0.8948889703399674,ok,inconclusive_mixed
yfcc10m,real_t4e-03_l600,0.0040071,4,graph,929.97229,4937.0,6292.0,800.950966,119.441147,117127.645448,861.438777,117127.645448,861.438777,13.369277,0.114141,ok_bpftrace,0.11,0.18,0.23,16,16.0,326816.739442,2553.2719221115112,2553.2719221115112,0.35838937028740103,0.3373862257050965,0.19246669849099998,0.411648,0.35838937028740103,ok,cpu_or_algorithm_bound
yfcc10m,real_t4e-03_l600,0.0040071,8,graph,1528.785156,6049.0,6839.0,1591.757158,119.251266,191431.900335,1407.438031,191431.900335,1407.438031,25.590147,0.133677,ok_bpftrace,0.12,0.23,0.3,32,32.0,472515.532298,3691.593215942383,3691.593215942383,0.4051335612270841,0.3812549077514522,0.538225491861,2.08896,0.4051335612270841,ok,cpu_or_algorithm_bound
yfcc10m,real_t5e-03_l902,0.0050002,1,graph,272.633148,4075.0,4735.0,201.566691,119.736977,34616.15119,254.492897,34616.15119,254.492897,3.605174,0.104143,ok_bpftrace,0.1,0.14,0.17,4,4.0,38894.40352,303.86356830596924,303.86356830596924,0.8900033952751051,0.8375235584140299,0.099865975435,0.156672,0.8900033952751051,ok,inconclusive_mixed
yfcc10m,real_t5e-03_l902,0.0050002,4,graph,917.527588,4983.0,6227.0,797.447474,119.442757,115564.62038,849.7394,115564.62038,849.7394,13.48354,0.116674,ok_bpftrace,0.11,0.18,0.23,16,16.0,326816.739442,2553.2719221115112,2553.2719221115112,0.35360679681619916,0.3328041140629003,0.19246669849099998,0.411648,0.35360679681619916,ok,cpu_or_algorithm_bound
yfcc10m,real_t5e-03_l902,0.0050002,8,graph,1508.47522,6110.0,6997.0,1580.926676,119.281502,188637.054016,1387.261916,188637.054016,1387.261916,25.558481,0.13549,ok_bpftrace,0.12,0.23,0.3,32,32.0,472515.532298,3691.593215942383,3691.593215942383,0.3992187369981159,0.3757894856911699,0.538225491861,2.08896,0.3992187369981159,ok,cpu_or_algorithm_bound
yfcc10m,real_t1e-02_l0,0.0097939,1,graph,270.66922,4103.0,4744.0,201.562535,119.733963,34390.29234,252.82284,34390.29234,252.82284,3.555333,0.103378,ok_bpftrace,0.1,0.14,0.17,4,4.0,38894.40352,303.86356830596924,303.86356830596924,0.8841964197321106,0.8320274832862662,0.099865975435,0.156672,0.8841964197321106,ok,inconclusive_mixed
yfcc10m,real_t1e-02_l0,0.0097939,4,graph,905.79071,5039.0,6389.0,801.013863,119.460091,114515.324531,842.086045,114515.324531,842.086045,13.421297,0.117199,ok_bpftrace,0.11,0.18,0.23,16,16.0,326816.739442,2553.2719221115112,2553.2719221115112,0.3503961416619022,0.3298066444500003,0.19246669849099998,0.411648,0.3503961416619022,ok,cpu_or_algorithm_bound
yfcc10m,real_t1e-02_l0,0.0097939,8,graph,1527.180542,6153.0,7170.0,1588.074129,119.255219,191414.807851,1407.447167,191414.807851,1407.447167,25.229541,0.131805,ok_bpftrace,0.12,0.23,0.3,32,32.0,472515.532298,3691.593215942383,3691.593215942383,0.4050973878468845,0.38125738256367164,0.538225491861,2.08896,0.4050973878468845,ok,cpu_or_algorithm_bound
yfcc10m,real_t5e-02_l24,0.0499079,1,graph,268.760864,4130.0,4780.0,200.874956,119.723793,34148.831079,251.040226,34148.831079,251.040226,3.527081,0.103281,ok_bpftrace,0.1,0.14,0.17,4,4.0,38894.40352,303.86356830596924,303.86356830596924,0.877988296219538,0.8261609886290157,0.099865975435,0.156672,0.877988296219538,ok,inconclusive_mixed
yfcc10m,real_t5e-02_l24,0.0499079,4,graph,906.688171,5041.0,5780.0,798.826632,119.440201,114524.86088,842.151183,114524.86088,842.151183,13.185942,0.115135,ok_bpftrace,0.11,0.18,0.23,16,16.0,326816.739442,2553.2719221115112,2553.2719221115112,0.3504253211617536,0.3298321560296467,0.19246669849099998,0.411648,0.3504253211617536,ok,cpu_or_algorithm_bound
yfcc10m,real_t5e-02_l24,0.0499079,8,graph,1506.241455,6116.0,7002.0,1587.24658,119.263153,188714.573011,1387.784422,188714.573011,1387.784422,25.092979,0.132967,ok_bpftrace,0.12,0.23,0.3,32,32.0,472515.532298,3691.593215942383,3691.593215942383,0.3993827929702508,0.3759310251212847,0.538225491861,2.08896,0.3993827929702508,ok,cpu_or_algorithm_bound
yfcc10m,real_t1e-01_l17,0.0991156,1,graph,279.229065,3985.0,4624.0,200.871863,119.696152,35476.830372,260.80874,35476.830372,260.80874,3.491946,0.098423,ok_bpftrace,0.1,0.13,0.17,4,4.0,38894.40352,303.86356830596924,303.86356830596924,0.9121320077259278,0.8583086858816321,0.099865975435,0.156672,0.9121320077259278,ok,inconclusive_mixed
yfcc10m,real_t1e-01_l17,0.0991156,4,graph,901.986572,5063.0,6541.0,800.953616,119.447021,114003.335203,838.210535,114003.335203,838.210535,13.291073,0.116583,ok_bpftrace,0.11,0.18,0.23,16,16.0,326816.739442,2553.2719221115112,2553.2719221115112,0.3488295470961704,0.3282887841835564,0.19246669849099998,0.411648,0.3488295470961704,ok,cpu_or_algorithm_bound
yfcc10m,real_t1e-01_l17,0.0991156,8,graph,1505.876343,6132.0,6930.0,1588.030412,119.271294,188626.001334,1387.002681,188626.001334,1387.002681,25.036869,0.132732,ok_bpftrace,0.12,0.23,0.3,32,32.0,472515.532298,3691.593215942383,3691.593215942383,0.39919534584746685,0.37571926262355765,0.538225491861,2.08896,0.39919534584746685,ok,cpu_or_algorithm_bound
yfcc10m,real_t2e-01_l29,0.1915985,1,graph,268.158752,4139.0,4785.0,200.610707,119.735283,34067.175318,250.449611,34067.175318,250.449611,3.534659,0.103751,ok_bpftrace,0.1,0.14,0.17,4,4.0,38894.40352,303.86356830596924,303.86356830596924,0.8758888743590636,0.8242173038256921,0.099865975435,0.156672,0.8758888743590636,ok,inconclusive_mixed
yfcc10m,real_t2e-01_l29,0.1915985,4,graph,905.107544,5095.0,6643.0,794.630185,119.439072,113984.13974,838.135854,113984.13974,838.135854,13.174798,0.115583,ok_bpftrace,0.11,0.18,0.23,16,16.0,326816.739442,2553.2719221115112,2553.2719221115112,0.3487708124578139,0.3282595350466535,0.19246669849099998,0.411648,0.3487708124578139,ok,cpu_or_algorithm_bound
yfcc10m,real_t2e-01_l29,0.1915985,8,graph,1504.735718,6119.0,6977.0,1586.730604,119.274902,188543.245105,1386.689226,188543.245105,1386.689226,25.030915,0.132759,ok_bpftrace,0.12,0.23,0.3,32,32.0,472515.532298,3691.593215942383,3691.593215942383,0.3990202061465611,0.3756343521305363,0.538225491861,2.08896,0.3990202061465611,ok,cpu_or_algorithm_bound
yfcc10m,real_extra_l23,0.3386745,1,graph,267.588043,4149.0,4809.0,200.877713,119.732368,34012.431596,250.04603,34012.431596,250.04603,3.525863,0.10366,ok_bpftrace,0.1,0.14,0.17,4,4.0,38894.40352,303.86356830596924,303.86356830596924,0.8744813782401979,0.8228891386815456,0.099865975435,0.156672,0.8744813782401979,ok,inconclusive_mixed
yfcc10m,real_extra_l23,0.3386745,4,graph,903.425842,5050.0,5752.0,797.993185,119.452049,114022.114744,838.344085,114022.114744,838.344085,13.217944,0.115923,ok_bpftrace,0.11,0.18,0.23,16,16.0,326816.739442,2553.2719221115112,2553.2719221115112,0.34888700908857656,0.32834108961912056,0.19246669849099998,0.411648,0.34888700908857656,ok,cpu_or_algorithm_bound
yfcc10m,real_extra_l23,0.3386745,8,graph,1506.925659,6124.0,6992.0,1586.155486,119.272522,188575.239823,1386.653132,188575.239823,1386.653132,25.058932,0.132885,ok_bpftrace,0.12,0.23,0.3,32,32.0,472515.532298,3691.593215942383,3691.593215942383,0.39908791760959894,0.3756245747802464,0.538225491861,2.08896,0.39908791760959894,ok,cpu_or_algorithm_bound
