status,points,raw_vector_bytes,total_index_bytes,extra_over_raw_ratio,total_to_raw_ratio,_disk.index,_disk.index.tags,_pq_compressed.bin,_pq_pivots.bin,_labels.densebit,_hybrid.meta
ok,250000,128000000,209253004,0.63478909375,1.63478909375,204804096,0,4000008,136292,312608,0
ok,500000,256000000,418365484,0.634240171875,1.634240171875,409604096,0,8000008,136292,625088,0
ok,750000,384000000,627477964,0.6340571979166667,1.6340571979166667,614404096,0,12000008,136292,937568,0
ok,1000000,512000000,836590444,0.6339657109375,1.6339657109375,819204096,0,16000008,136292,1250048,0
