actual_route,beamwidth,bucket,passes_p95_10ms,passes_primary,route,row_index,search_l,selector_type,serving_configuration,v1_avg_latency_ms,v1_p95_latency_ms,v1_recall@10,v3_avg_latency_ms,v3_bytes_per_4k,v3_mean_n_4k,v3_mean_read_size,v3_p95_latency_ms,v3_recall@10,variant
prefilter,4,u3e-03,True,True,prefilter,31,100,range,selected route/L/beamwidth,0.358087135,0.399367,99.72,0.338900436,4096.0,116.645,477777.92,0.393648,99.72,no_retrain_across_cycles
prefilter,4,u1e-02,True,True,prefilter,32,50,range,selected route/L/beamwidth,0.674796214,0.7351660000000001,99.64,0.604569207,4096.0,148.637,608817.152,0.667159,99.64,no_retrain_across_cycles
prefilter,4,u5e-02,True,True,prefilter,33,50,range,selected route/L/beamwidth,1.777755513,1.894824,99.44,1.509541674,4096.0,184.734,756670.464,1.606162,99.44,no_retrain_across_cycles
prefilter,4,u1e-01,True,True,prefilter,34,150,range,selected route/L/beamwidth,3.222686503,3.368522,98.23,2.22308754,4096.0,184.69,756490.24,2.385315,98.23,no_retrain_across_cycles
prefilter,4,u25,True,True,prefilter,35,250,range,selected route/L/beamwidth,4.701495213,4.916262,98.65,4.40582561,4096.0,288.426,1181392.896,4.6904889999999995,98.65,no_retrain_across_cycles
prefilter,4,u30,True,True,prefilter,36,300,range,selected route/L/beamwidth,5.551167093,5.904864,98.9,5.03273494,4096.0,345.812,1416445.952,5.3095680000000005,98.9,no_retrain_across_cycles
prefilter,4,u50,True,True,prefilter,37,300,range,selected route/L/beamwidth,8.292436967,8.929590000000001,98.48,7.635624308000001,4096.0,346.13,1417748.48,7.97224,98.48,no_retrain_across_cycles
mixed,8,u75,True,True,graph,38,450,range,selected route/L/beamwidth,9.244931232999999,9.54698,98.36,6.712899124,4096.0,527.563,2160898.048,6.690736,98.36,no_retrain_across_cycles
mixed,8,u100,True,True,graph,39,400,range,selected route/L/beamwidth,8.241494264,8.587962,98.41,5.6522336619999995,4096.0,471.48,1931182.08,6.014028000000001,98.41,no_retrain_across_cycles
prefilter,4,u1e-03,True,True,prefilter,40,50,intersect,selected route/L/beamwidth,0.16641119299999999,0.18484899999999999,99.92,0.163054816,4096.0,111.653,457330.688,0.194163,99.92,retrain_each_cycle
prefilter,4,u3e-03,True,True,prefilter,41,50,intersect,selected route/L/beamwidth,0.211060394,0.235677,99.73,0.208540061,4096.0,111.555,456929.28,0.22378,99.73,retrain_each_cycle
prefilter,4,u1e-02,True,True,prefilter,42,100,intersect,selected route/L/beamwidth,0.40715896199999996,0.45424200000000003,99.55,0.40110747300000005,4096.0,148.876,609796.096,0.44214499999999995,99.55,retrain_each_cycle
